,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,0.995,0.75,0.75,0.9045226130653267,0.005025125628140704,0.9045226130653267,0.9045226130653267,"[5.0, 5.0]",300.0,0.5,individualized,improvement,2,,0.8934673366834172,9.849246231155778
1,1.0,0.75,0.75,0.02,0.015,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,2,,0.504,2.18796
2,1.0,0.75,0.75,0.02,0.02,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,2,,0.509,2.0737454999999994
3,0.995,0.75,0.75,0.9296482412060302,0.0,0.9296482412060302,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,2,,0.927638190954774,9.095477386934673
4,1.0,0.75,0.75,0.01,0.01,0.995,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,2,,0.542,2.1393455
5,1.0,0.75,0.75,0.915,0.0,0.915,0.915,"[5.0, 5.0]",300.0,0.5,individualized,improvement,1,,0.915,9.525
6,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,1,,0.9960000000000001,0.7770000000000005
7,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,1,,0.9949999999999999,0.7715500000000007
8,1.0,0.75,0.75,0.92,0.0,0.92,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,1,,0.9200000000000002,9.45
9,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,1,,0.9960000000000001,0.7670000000000001
10,1.0,0.75,0.75,0.935,0.005,0.935,0.935,"[5.0, 5.0]",300.0,0.5,individualized,improvement,0,,0.9350000000000002,9.55
11,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,0,,0.583,0.9778840000000002
12,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,0,,0.5880000000000001,1.0331875
13,1.0,0.75,0.75,0.91,0.0,0.91,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,0,,0.9099999999999999,9.55
14,1.0,0.75,0.75,0.005,0.005,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,0,,0.623,1.1803289999999997
