,years_experience,degree,nr_commits,nr_languages,nr_stars
3564,0.0,2.0,7.0,3.0,3.0
2270,1.0,0.0,12.0,15.0,1.0
2216,2.0,0.0,23.0,1.0,0.0
2798,1.0,1.0,15.0,5.0,8.0
3190,3.0,0.0,33.0,1.0,8.0
3105,4.0,0.0,43.0,0.0,2.0
2452,1.0,0.0,11.0,6.0,3.0
3665,3.0,0.0,31.0,2.0,5.0
2849,2.0,0.0,23.0,4.0,2.0
3790,3.0,0.0,31.0,8.0,7.0
3404,1.0,1.0,12.0,12.0,5.0
3578,2.0,0.0,26.0,7.0,1.0
2806,0.0,2.0,6.0,11.0,4.0
3276,2.0,0.0,21.0,6.0,3.0
2878,4.0,0.0,44.0,9.0,1.0
3901,2.0,0.0,26.0,5.0,3.0
3824,3.0,0.0,33.0,3.0,7.0
2894,2.0,0.0,23.0,4.0,3.0
3400,0.0,0.0,4.0,3.0,6.0
3489,4.0,0.0,42.0,5.0,6.0
2524,1.0,2.0,20.0,0.0,1.0
3304,2.0,0.0,24.0,9.0,2.0
2896,0.0,0.0,3.0,6.0,6.0
2505,0.0,2.0,3.0,3.0,3.0
3122,1.0,0.0,13.0,6.0,2.0
3687,1.0,0.0,15.0,7.0,4.0
3177,1.0,0.0,15.0,1.0,5.0
3758,3.0,0.0,34.0,2.0,5.0
2128,1.0,1.0,13.0,3.0,3.0
2010,1.0,2.0,16.0,3.0,4.0
3761,1.0,2.0,12.0,6.0,2.0
3334,1.0,2.0,12.0,5.0,2.0
3514,1.0,0.0,13.0,6.0,12.0
3401,0.0,0.0,4.0,7.0,2.0
2870,3.0,0.0,32.0,2.0,6.0
2546,1.0,0.0,13.0,7.0,7.0
3970,1.0,2.0,16.0,1.0,6.0
3075,2.0,0.0,25.0,6.0,6.0
3697,0.0,3.0,2.0,2.0,1.0
2501,0.0,0.0,4.0,1.0,6.0
3302,2.0,0.0,24.0,3.0,2.0
2590,1.0,0.0,15.0,7.0,7.0
3526,1.0,0.0,11.0,12.0,4.0
3189,0.0,1.0,5.0,1.0,0.0
2814,2.0,0.0,23.0,5.0,2.0
2587,2.0,0.0,21.0,2.0,6.0
3573,2.0,1.0,20.0,2.0,3.0
3432,1.0,0.0,13.0,3.0,4.0
2388,0.0,2.0,3.0,2.0,5.0
3862,3.0,0.0,33.0,13.0,1.0
2499,1.0,1.0,15.0,3.0,3.0
2791,2.0,0.0,22.0,1.0,6.0
2592,0.0,2.0,6.0,8.0,9.0
2203,1.0,2.0,13.0,4.0,2.0
2492,3.0,0.0,41.0,12.0,3.0
2225,0.0,2.0,2.0,9.0,2.0
2146,2.0,0.0,23.0,8.0,4.0
3138,0.0,1.0,4.0,1.0,0.0
2988,0.0,0.0,4.0,6.0,1.0
2008,0.0,1.0,6.0,6.0,2.0
2285,2.0,0.0,27.0,3.0,4.0
3835,0.0,2.0,3.0,2.0,0.0
3406,1.0,1.0,17.0,1.0,4.0
3826,2.0,0.0,27.0,2.0,3.0
3403,1.0,1.0,15.0,4.0,5.0
3186,0.0,2.0,0.0,2.0,10.0
2853,1.0,0.0,16.0,6.0,4.0
3409,2.0,0.0,24.0,0.0,2.0
3984,3.0,0.0,34.0,7.0,2.0
2235,1.0,0.0,13.0,2.0,12.0
2430,1.0,0.0,14.0,3.0,7.0
2273,2.0,0.0,23.0,1.0,1.0
2033,1.0,0.0,12.0,1.0,4.0
2205,0.0,2.0,1.0,5.0,3.0
2347,2.0,0.0,21.0,5.0,1.0
3085,2.0,0.0,25.0,1.0,2.0
3274,1.0,1.0,16.0,0.0,3.0
2931,2.0,0.0,21.0,2.0,6.0
2604,2.0,0.0,23.0,4.0,6.0
3908,0.0,2.0,7.0,1.0,13.0
3708,3.0,0.0,34.0,3.0,6.0
2885,1.0,0.0,16.0,4.0,1.0
2015,3.0,0.0,34.0,6.0,8.0
2426,1.0,0.0,15.0,4.0,10.0
2191,2.0,0.0,22.0,3.0,3.0
2314,3.0,0.0,37.0,0.0,3.0
2929,0.0,0.0,5.0,1.0,3.0
3478,0.0,0.0,5.0,4.0,3.0
2780,2.0,0.0,20.0,3.0,5.0
2800,1.0,0.0,20.0,2.0,7.0
3372,2.0,1.0,21.0,1.0,3.0
3759,2.0,0.0,24.0,8.0,2.0
2987,1.0,0.0,16.0,6.0,3.0
3476,1.0,1.0,14.0,0.0,2.0
3562,1.0,0.0,12.0,3.0,8.0
3458,3.0,0.0,32.0,4.0,6.0
2977,2.0,0.0,25.0,8.0,6.0
2378,2.0,0.0,21.0,4.0,1.0
3847,1.0,0.0,14.0,5.0,5.0
2550,1.0,1.0,13.0,0.0,2.0
2261,1.0,0.0,16.0,4.0,7.0
3580,0.0,1.0,4.0,2.0,7.0
3900,3.0,0.0,38.0,3.0,3.0
2764,0.0,2.0,2.0,5.0,3.0
3604,4.0,0.0,44.0,3.0,2.0
3473,1.0,1.0,16.0,11.0,7.0
2127,1.0,1.0,16.0,4.0,5.0
3112,2.0,0.0,23.0,4.0,2.0
2151,4.0,0.0,44.0,0.0,3.0
2973,3.0,0.0,34.0,5.0,1.0
3623,1.0,0.0,12.0,5.0,2.0
