,years_experience,degree,nr_commits,nr_languages,nr_stars
3455,4.0,0.0,4045.0,10.0,16.0
3118,1.0,3.0,1013.0,8.0,12.0
2642,2.0,2.0,2022.0,2.0,12.0
3850,3.0,1.0,3034.0,3.0,11.0
2486,2.0,2.0,2026.0,1.0,13.0
3294,0.0,3.0,8.0,7.0,13.0
2141,2.0,2.0,2024.0,5.0,11.0
2514,1.0,3.0,1019.0,11.0,17.0
3048,2.0,2.0,2028.0,6.0,14.0
2127,3.0,1.0,3033.0,7.0,15.0
2968,3.0,1.0,3031.0,2.0,11.0
2840,3.0,1.0,3032.0,14.0,17.0
3416,3.0,1.0,3032.0,6.0,15.0
2715,1.0,3.0,1017.0,5.0,15.0
2825,4.0,0.0,45.0,1.0,5.0
2226,3.0,1.0,3036.0,5.0,18.0
2221,0.0,3.0,1.0,1.0,16.0
3365,4.0,0.0,4043.0,5.0,11.0
3796,1.0,3.0,1014.0,2.0,11.0
2956,3.0,1.0,3033.0,1.0,15.0
2839,1.0,3.0,1015.0,15.0,20.0
2618,3.0,1.0,3032.0,4.0,14.0
3036,1.0,3.0,1012.0,2.0,15.0
3898,2.0,2.0,2024.0,10.0,11.0
3245,0.0,3.0,5.0,2.0,15.0
3017,4.0,0.0,4045.0,2.0,13.0
3322,0.0,3.0,7.0,5.0,13.0
2603,3.0,1.0,3035.0,1.0,18.0
2026,1.0,3.0,1012.0,6.0,16.0
3037,3.0,1.0,3034.0,4.0,14.0
2647,3.0,1.0,3035.0,2.0,12.0
3014,0.0,3.0,3.0,3.0,3.0
3974,1.0,3.0,1014.0,1.0,14.0
3635,0.0,3.0,2.0,10.0,14.0
3159,1.0,3.0,1013.0,3.0,15.0
3621,3.0,1.0,3033.0,1.0,18.0
3996,1.0,3.0,1011.0,11.0,17.0
2310,3.0,1.0,3033.0,10.0,16.0
3353,3.0,1.0,3034.0,3.0,13.0
3537,0.0,3.0,3.0,4.0,10.0
3314,0.0,3.0,4.0,4.0,18.0
2491,3.0,1.0,3039.0,2.0,15.0
2716,3.0,1.0,3036.0,4.0,18.0
3241,3.0,1.0,3034.0,6.0,12.0
2019,1.0,3.0,1014.0,9.0,15.0
2323,4.0,0.0,4045.0,4.0,11.0
2300,2.0,2.0,2025.0,8.0,16.0
3988,1.0,3.0,1017.0,6.0,17.0
2478,0.0,3.0,5.0,3.0,10.0
3263,1.0,3.0,1018.0,6.0,15.0
3011,4.0,0.0,4049.0,4.0,17.0
2314,3.0,1.0,3033.0,4.0,12.0
2413,1.0,3.0,1015.0,2.0,12.0
3747,0.0,3.0,3.0,4.0,19.0
2068,3.0,1.0,3031.0,2.0,11.0
3183,1.0,3.0,1014.0,2.0,14.0
3610,1.0,3.0,1018.0,10.0,11.0
2416,3.0,1.0,3036.0,12.0,13.0
2424,2.0,2.0,2024.0,2.0,11.0
3538,1.0,3.0,1014.0,12.0,11.0
2252,1.0,3.0,1011.0,5.0,12.0
3486,0.0,3.0,4.0,2.0,14.0
2243,3.0,1.0,3033.0,10.0,15.0
2759,1.0,3.0,1020.0,2.0,11.0
3668,4.0,0.0,4043.0,8.0,13.0
2777,1.0,3.0,1012.0,3.0,15.0
2269,3.0,1.0,3034.0,1.0,13.0
2488,5.0,0.0,5054.0,3.0,17.0
3392,4.0,0.0,50.0,4.0,4.0
3202,1.0,3.0,1014.0,10.0,11.0
3024,4.0,0.0,4042.0,4.0,15.0
2023,2.0,2.0,2022.0,13.0,17.0
2592,3.0,1.0,36.0,0.0,4.0
3460,4.0,0.0,4046.0,10.0,12.0
3431,3.0,1.0,3034.0,2.0,12.0
3419,1.0,3.0,1013.0,3.0,15.0
3399,3.0,1.0,3034.0,14.0,11.0
2207,1.0,3.0,1012.0,17.0,17.0
2936,1.0,3.0,1013.0,1.0,10.0
3304,1.0,3.0,1012.0,6.0,10.0
3837,2.0,2.0,2023.0,5.0,13.0
2903,0.0,3.0,2.0,7.0,14.0
2474,4.0,0.0,4042.0,5.0,16.0
3391,1.0,3.0,1014.0,10.0,15.0
2272,4.0,0.0,4045.0,3.0,14.0
2564,2.0,2.0,2022.0,5.0,16.0
2898,0.0,3.0,8.0,3.0,15.0
2096,0.0,3.0,8.0,2.0,10.0
2046,4.0,0.0,4041.0,3.0,14.0
2566,0.0,3.0,7.0,4.0,14.0
2104,1.0,3.0,1011.0,5.0,15.0
3054,1.0,3.0,1013.0,5.0,15.0
2523,0.0,3.0,6.0,7.0,16.0
2087,4.0,0.0,4044.0,4.0,16.0
3805,1.0,2.0,19.0,6.0,12.0
3669,4.0,0.0,4040.0,3.0,14.0
3300,3.0,1.0,3033.0,3.0,17.0
3281,3.0,1.0,3033.0,3.0,15.0
2293,1.0,3.0,1012.0,11.0,14.0
2446,3.0,1.0,3034.0,14.0,20.0
2007,4.0,0.0,4042.0,3.0,12.0
3301,4.0,0.0,4043.0,2.0,14.0
2802,1.0,3.0,1014.0,7.0,13.0
2261,4.0,0.0,4045.0,9.0,11.0
2542,1.0,3.0,1013.0,7.0,13.0
2656,4.0,0.0,4045.0,7.0,12.0
3643,1.0,3.0,1014.0,2.0,11.0
2929,4.0,0.0,4042.0,5.0,14.0
3686,3.0,1.0,3034.0,8.0,11.0
3701,4.0,0.0,4046.0,7.0,11.0
3435,3.0,1.0,3032.0,9.0,11.0
3989,2.0,2.0,2025.0,1.0,12.0
2117,1.0,3.0,1018.0,3.0,14.0
2105,1.0,3.0,1014.0,2.0,11.0
3893,0.0,3.0,7.0,6.0,14.0
3034,3.0,1.0,3035.0,6.0,16.0
3866,4.0,0.0,4042.0,7.0,20.0
2098,2.0,2.0,2025.0,10.0,11.0
2148,1.0,3.0,1013.0,6.0,10.0
2064,4.0,0.0,4050.0,8.0,12.0
2628,0.0,3.0,6.0,2.0,13.0
3773,3.0,1.0,3031.0,3.0,12.0
3567,3.0,1.0,36.0,1.0,7.0
3351,1.0,3.0,1012.0,6.0,13.0
2479,0.0,3.0,1.0,17.0,14.0
3682,2.0,2.0,2024.0,4.0,14.0
2683,3.0,1.0,3035.0,2.0,16.0
3179,3.0,1.0,3033.0,7.0,17.0
3398,0.0,3.0,4.0,7.0,13.0
3327,4.0,0.0,43.0,1.0,8.0
2420,0.0,3.0,2.0,4.0,12.0
3764,2.0,2.0,2024.0,1.0,17.0
2339,0.0,3.0,5.0,9.0,16.0
2588,1.0,3.0,1013.0,14.0,10.0
3800,4.0,0.0,4044.0,3.0,13.0
3978,4.0,0.0,4046.0,3.0,13.0
3443,0.0,3.0,9.0,3.0,14.0
3847,4.0,0.0,4042.0,10.0,14.0
2821,2.0,2.0,2027.0,3.0,16.0
3464,2.0,2.0,2026.0,5.0,15.0
2624,3.0,1.0,3033.0,7.0,17.0
3344,3.0,1.0,3034.0,2.0,12.0
3082,1.0,3.0,1015.0,5.0,14.0
2550,3.0,1.0,3034.0,3.0,11.0
2345,0.0,3.0,2.0,5.0,2.0
2001,3.0,1.0,3031.0,7.0,12.0
2649,0.0,3.0,1.0,7.0,11.0
2549,3.0,1.0,3033.0,4.0,15.0
2570,3.0,1.0,33.0,2.0,4.0
2502,4.0,0.0,42.0,5.0,4.0
2289,0.0,3.0,2.0,3.0,13.0
3430,0.0,3.0,7.0,2.0,10.0
2465,1.0,3.0,1012.0,9.0,17.0
3071,4.0,0.0,43.0,3.0,6.0
3434,3.0,1.0,3033.0,3.0,15.0
2236,4.0,1.0,4044.0,4.0,15.0
2858,2.0,2.0,2026.0,2.0,12.0
3680,1.0,3.0,1015.0,2.0,13.0
3141,4.0,0.0,4048.0,5.0,11.0
2978,1.0,3.0,1011.0,3.0,16.0
3993,4.0,0.0,4047.0,11.0,16.0
2371,0.0,3.0,2.0,4.0,17.0
2579,1.0,3.0,1012.0,3.0,11.0
2808,0.0,3.0,3.0,7.0,19.0
3957,1.0,3.0,1015.0,4.0,16.0
3021,1.0,3.0,1016.0,7.0,12.0
2203,3.0,1.0,3034.0,8.0,14.0
3947,4.0,0.0,4043.0,3.0,15.0
2282,0.0,3.0,5.0,7.0,17.0
2350,1.0,3.0,1016.0,6.0,13.0
3832,4.0,0.0,4042.0,12.0,18.0
2559,3.0,1.0,3033.0,2.0,10.0
2122,1.0,3.0,1014.0,11.0,18.0
2569,0.0,3.0,5.0,5.0,14.0
3196,3.0,1.0,3033.0,4.0,13.0
2880,3.0,1.0,3034.0,7.0,15.0
3213,0.0,3.0,1.0,6.0,12.0
3225,4.0,0.0,4040.0,13.0,20.0
3484,0.0,3.0,2.0,9.0,11.0
3278,3.0,1.0,3038.0,7.0,13.0
2886,3.0,1.0,33.0,3.0,4.0
3020,2.0,2.0,2024.0,3.0,18.0
3428,4.0,0.0,4044.0,5.0,16.0
3306,0.0,3.0,8.0,6.0,1.0
2024,4.0,0.0,4046.0,2.0,15.0
2732,2.0,2.0,2023.0,4.0,16.0
2063,4.0,1.0,4044.0,6.0,11.0
2079,3.0,1.0,3035.0,7.0,10.0
2627,1.0,2.0,14.0,11.0,6.0
2720,3.0,1.0,3036.0,3.0,11.0
3982,4.0,0.0,4043.0,1.0,14.0
2924,4.0,0.0,4044.0,1.0,11.0
2431,4.0,0.0,4043.0,3.0,12.0
2497,2.0,2.0,2024.0,3.0,12.0
2568,3.0,1.0,3034.0,1.0,12.0
3087,4.0,0.0,42.0,3.0,4.0
3615,1.0,3.0,1013.0,1.0,11.0
3626,2.0,2.0,2025.0,2.0,15.0
3283,1.0,3.0,1015.0,1.0,19.0
2283,3.0,1.0,3037.0,5.0,11.0
