r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.1794999999999999,0.09399999999999999,1.803000000000001,0.2734999999999999,1.803000000000001,,,,,,0.75
individualized,acceptance,0.134,0.09549999999999999,1.8770000000000011,0.22949999999999998,1.8770000000000011,,,,,,0.75
individualized,acceptance,0.1324966499162479,0.1338107202680067,1.7487361809045232,0.2663073701842546,1.7487361809045232,0.03725717068347417,0.04319485991020096,0.017821427381307816,0.07941636675577332,0.017821427381307816,0.75
individualized,acceptance,0.14564309764309766,0.12254377104377105,1.9328956228956227,0.2681868686868687,1.9328956228956227,0.05654885986488593,0.03522178203230211,0.10207890766858044,0.06728578963637959,0.10207890766858044,0.85
individualized,acceptance,0.143499162479062,0.12068006700167504,1.9373819095477387,0.264179229480737,1.9373819095477387,0.060896309862487945,0.11891091017567494,0.013959799673312677,0.13719576992091687,0.013959799673312677,0.9
individualized,acceptance,0.15883333333333335,0.1581666666666667,2.0195000000000003,0.31700000000000006,2.0195000000000003,0.08105605056584815,0.10658603723440209,0.18400815199332898,0.11780916772475734,0.18400815199332898,0.9499999999999998
subpopulation,acceptance,0.06178852402711019,0.07979457868264937,1.9864139697644856,0.14158310270975957,1.9864139697644856,0.023228935691315362,0.040368635356281206,0.07391687493579183,0.06356711892114465,0.07391687493579183,0.75
subpopulation,acceptance,0.07426716917922949,0.03324958123953099,2.1260259631490785,0.10751675041876048,2.1260259631490785,0.03445604170113266,0.01779194913541954,0.06048105641420763,0.04343102793631174,0.06048105641420763,0.85
subpopulation,acceptance,0.03413885081975536,0.06807763565301256,2.291729497656634,0.10221648647276792,2.291729497656634,0.04789361660715052,0.08176490805590803,0.1364380219127788,0.12142226494872711,0.1364380219127788,0.9
subpopulation,acceptance,0.012166666666666664,0.10400000000000004,2.367333333333333,0.1161666666666667,2.367333333333333,0.010515861036231568,0.14006337851130116,0.14128546752349785,0.14117394707711955,0.14128546752349785,0.9499999999999998
individualized,counterfactual,0.0020100502512562816,0.0010050251256281406,2.1783919597989945,0.003015075376884422,2.1783919597989945,,,,,,0.75
individualized,counterfactual,-0.0003458961474036854,0.00532244556113903,2.1237160804020103,0.004976549413735344,2.1237160804020103,0.009942530226694713,0.015603531807798556,0.07293116891188278,0.01697316509102159,0.07293116891188278,0.75
individualized,counterfactual,0.014329983249581233,-0.00016750418760469023,2.3500770519262986,0.014162479061976542,2.3500770519262986,0.030483561489864808,0.0010412362645410129,0.11583167792099411,0.03150464673942461,0.11583167792099411,0.85
individualized,counterfactual,0.0046565656565656565,0.013629629629629632,2.260154882154882,0.01828619528619529,2.260154882154882,0.014162131289353017,0.021431943199355763,0.10704252551428371,0.03053952176921224,0.10704252551428371,0.9
individualized,counterfactual,0.006334170854271358,0.057160804020100514,2.264385259631491,0.06349497487437188,2.264385259631491,0.0101029044745183,0.08673177294463807,0.21894575358669088,0.08335317983327618,0.21894575358669088,0.9499999999999998
individualized,improvement,1.2775000000000003,0.8014999999999999,,2.079,0.0,,,,,,0.75
individualized,improvement,1.1890000000000005,0.8139999999999994,,2.003,0.0,,,,,,0.75
individualized,improvement,1.2140000000000002,0.826333333333333,,2.040333333333333,0.0,0.04195533339159639,0.11636830897341989,,0.14808809315179022,0.0,0.75
individualized,improvement,1.5221666666666678,0.9499999999999996,,2.472166666666667,0.0,0.06085296486888199,0.06924052281720569,,0.030636307436330223,0.0,0.85
individualized,improvement,1.6801666666666673,1.2708333333333326,,2.951,0.0,0.056679655374157936,0.08891615901135907,,0.14421945083795012,0.0,0.9
individualized,improvement,2.0931666666666664,1.1731666666666662,,3.2663333333333333,0.0,0.009073771725877405,0.12522612879640277,,0.11622428030894956,0.0,0.9499999999999998
subpopulation,improvement,1.1557788944723613,0.6165829145728642,,1.7723618090452256,0.0,,,,,,0.75
subpopulation,improvement,1.2360544217687073,0.7319727891156461,,1.9680272108843535,0.0,0.059395147633493635,0.04878877939794049,,0.010754701873307439,0.0,0.75
subpopulation,improvement,1.5725577889447235,0.9013467336683417,,2.473904522613065,0.0,0.06147282886913914,0.08422426446145233,,0.10001250483669027,0.0,0.85
subpopulation,improvement,1.7643333333333333,1.1703333333333334,,2.9346666666666668,0.0,0.04567913455105367,0.05232192019921806,,0.0969346859144508,0.0,0.9
subpopulation,improvement,2.083,1.1219999999999999,,3.2050000000000005,0.0,0.05289376144688533,0.09663462112514341,,0.07450503338701397,0.0,0.9499999999999998
