,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,0.7950000166893005,0.20000000298023224,0.94,0.795,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[0.1827910763394071, 0.05825147152125675, 0.9498355079391424], [-0.5594767575921951]]",0.9369999766349792,2.436499999999999
1,1.0,0.75,0.75,0.25,0.16500000655651093,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[0.1827910763394071, 0.05825147152125675, 0.9498355079391424], [-0.5594767575921951]]",0.7509999871253967,2.7255000000000007
2,1.0,0.75,0.75,0.1550000011920929,0.14000000059604645,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[0.1827910763394071, 0.05825147152125675, 0.9498355079391424], [-0.5594767575921951]]",0.6690000295639038,2.1295000000000006
3,1.0,0.75,0.75,0.7649999856948853,0.16500000655651093,0.79,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[0.1827910763394071, 0.05825147152125675, 0.9498355079391424], [-0.5594767575921951]]",0.7860000729560852,2.478
4,1.0,0.75,0.75,0.27000001072883606,0.2150000035762787,0.895,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[0.1827910763394071, 0.05825147152125675, 0.9498355079391424], [-0.5594767575921951]]",0.6520000100135803,2.0322580645161286
5,0.93,0.75,0.75,0.7365591526031494,0.0,0.08602150537634409,0.8440860215053764,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[-10.959644649868453, -5.442935613890193, 5.929335759711], [-2.9436029850933045]]",0.06989248096942902,0.5159999999999997
6,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[-10.959644649868453, -5.442935613890193, 5.929335759711], [-2.9436029850933045]]",0.89000004529953,0.5595
7,1.0,0.75,0.75,0.0,0.0,0.595,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[-10.959644649868453, -5.442935613890193, 5.929335759711], [-2.9436029850933045]]",0.5689999461174011,1.8349462365591407
8,0.93,0.75,0.75,0.5322580933570862,0.0,0.10752688172043011,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[-10.959644649868453, -5.442935613890193, 5.929335759711], [-2.9436029850933045]]",0.08279569447040558,0.5655
9,1.0,0.75,0.75,0.004999999888241291,0.0,0.795,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[-10.959644649868453, -5.442935613890193, 5.929335759711], [-2.9436029850933045]]",0.7549999952316284,2.0370000000000004
10,1.0,0.75,0.75,0.7649999856948853,0.14000000059604645,0.935,0.8,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[0.06051647343298019, -0.017500483316691174, 1.0300053394837347], [-0.5902582798284468]]",0.9380000233650208,2.1520000000000006
11,1.0,0.75,0.75,0.23000000417232513,0.1599999964237213,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[0.06051647343298019, -0.017500483316691174, 1.0300053394837347], [-0.5902582798284468]]",0.5589999556541443,2.102999999999998
12,1.0,0.75,0.75,0.23499999940395355,0.23000000417232513,0.98,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[0.06051647343298019, -0.017500483316691174, 1.0300053394837347], [-0.5902582798284468]]",0.4690000116825104,1.8179999999999998
13,1.0,0.75,0.75,0.675000011920929,0.20499999821186066,0.735,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[0.06051647343298019, -0.017500483316691174, 1.0300053394837347], [-0.5902582798284468]]",0.7389999628067017,2.228
14,1.0,0.75,0.75,0.22499999403953552,0.18000000715255737,0.92,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[0.06051647343298019, -0.017500483316691174, 1.0300053394837347], [-0.5902582798284468]]",0.4480000138282776,
