,years_experience,degree,nr_commits,nr_languages,nr_stars
2637,2.0,0.0,20.0,1.5,3.0
2541,1.0,1.0,14.0,5.5,5.0
3572,0.0,2.0,3.0,2.5,4.0
3368,0.0,1.0,3.0,2.5,3.0
2709,3.0,0.0,32.0,9.5,8.0
2985,1.0,0.0,12.0,3.5,7.0
2734,1.0,0.0,17.0,6.5,2.0
2992,0.0,0.0,2.0,7.5,1.0
2718,0.0,2.0,5.0,1.5,0.0
2361,0.0,0.0,5.0,0.5,4.0
3396,2.0,1.0,24.0,6.5,7.0
2534,1.0,1.0,12.0,3.5,8.0
3966,4.0,0.0,43.0,5.5,7.0
2557,0.0,0.0,7.0,0.5,1.0
2180,2.0,0.0,25.0,3.5,1.0
3642,4.0,0.0,46.0,9.5,3.0
3229,0.0,2.0,6.0,1.5,6.0
2428,2.0,1.0,22.0,8.5,3.0
2160,0.0,0.0,1.0,9.5,0.0
2468,2.0,0.0,26.0,2.5,5.0
3673,0.0,0.0,3.0,0.5,6.0
3258,0.0,2.0,4.0,21.5,4.0
3539,1.0,0.0,13.0,2.5,6.0
2694,1.0,1.0,15.0,2.5,7.0
2076,3.0,0.0,33.0,11.5,1.0
3900,0.0,2.0,2.0,0.5,1.0
3300,2.0,1.0,23.0,21.5,7.0
3476,3.0,0.0,32.0,0.5,7.0
3984,2.0,1.0,24.0,4.5,3.0
3859,1.0,0.0,16.0,3.5,1.0
2384,1.0,0.0,14.0,5.5,11.0
2258,0.0,2.0,3.0,4.5,6.0
2929,2.0,0.0,24.0,3.5,5.0
2014,3.0,0.0,36.0,9.5,1.0
3605,1.0,0.0,12.0,5.5,2.0
2449,0.0,2.0,5.0,6.5,3.0
2163,2.0,0.0,23.0,0.5,6.0
3728,1.0,0.0,16.0,0.5,3.0
2188,4.0,0.0,42.0,10.5,2.0
2044,2.0,0.0,25.0,4.5,2.0
2243,3.0,0.0,34.0,8.5,1.0
2939,0.0,0.0,4.0,0.5,5.0
2597,0.0,1.0,5.0,16.5,4.0
3829,3.0,0.0,33.0,0.5,8.0
2733,1.0,0.0,15.0,1.5,3.0
2350,2.0,0.0,21.0,4.5,1.0
3055,1.0,0.0,16.0,6.5,10.0
3445,2.0,0.0,24.0,3.5,5.0
2045,1.0,0.0,11.0,8.5,3.0
3213,2.0,1.0,23.0,3.5,10.0
3522,3.0,0.0,33.0,2.5,2.0
2589,2.0,0.0,24.0,0.5,7.0
3306,2.0,1.0,21.0,2.5,6.0
2837,3.0,0.0,31.0,1.5,0.0
2695,3.0,0.0,33.0,7.5,4.0
2315,3.0,0.0,35.0,2.5,1.0
3506,2.0,0.0,22.0,2.5,1.0
3614,0.0,0.0,8.0,7.5,2.0
3367,1.0,0.0,15.0,6.5,5.0
2095,2.0,0.0,26.0,0.5,2.0
2110,0.0,1.0,4.0,2.5,7.0
2532,1.0,0.0,16.0,0.5,3.0
3366,0.0,2.0,4.0,12.5,9.0
3910,1.0,2.0,15.0,5.5,0.0
3540,2.0,0.0,27.0,0.5,2.0
2370,2.0,0.0,23.0,6.5,7.0
2273,3.0,0.0,33.0,3.5,3.0
3743,2.0,0.0,23.0,1.5,2.0
3444,2.0,1.0,23.0,7.5,3.0
2471,2.0,0.0,27.0,17.5,1.0
3784,1.0,1.0,13.0,2.5,3.0
2391,2.0,0.0,22.0,3.5,7.0
2842,1.0,0.0,15.0,3.5,4.0
3425,0.0,2.0,8.0,0.5,6.0
2981,1.0,1.0,16.0,5.5,3.0
3487,2.0,0.0,25.0,9.5,5.0
3220,1.0,1.0,14.0,6.5,1.0
2569,2.0,0.0,21.0,0.5,8.0
3543,2.0,1.0,22.0,1.5,4.0
2430,2.0,1.0,23.0,6.5,6.0
3433,3.0,0.0,38.0,0.5,4.0
2366,2.0,0.0,24.0,3.5,4.0
2935,0.0,0.0,4.0,1.5,2.0
2074,1.0,1.0,14.0,1.5,6.0
3438,1.0,0.0,15.0,7.5,5.0
3027,2.0,0.0,24.0,4.5,3.0
3236,2.0,2.0,24.0,2.5,9.0
3646,2.0,1.0,26.0,5.5,5.0
3096,1.0,0.0,13.0,6.5,8.0
3697,3.0,0.0,33.0,9.5,7.0
2168,1.0,0.0,17.0,7.5,2.0
3937,2.0,0.0,24.0,2.5,7.0
3774,2.0,0.0,22.0,16.5,1.0
2795,2.0,0.0,23.0,3.5,2.0
2768,2.0,0.0,24.0,8.5,2.0
3785,3.0,0.0,37.0,1.5,3.0
2056,0.0,1.0,4.0,0.5,4.0
3098,1.0,2.0,10.0,2.5,6.0
2008,3.0,0.0,34.0,1.5,3.0
2176,1.0,0.0,14.0,1.5,5.0
2930,3.0,0.0,36.0,5.5,8.0
2396,3.0,0.0,34.0,2.5,4.0
3412,0.0,2.0,7.0,4.5,2.0
2910,3.0,0.0,36.0,0.5,2.0
3923,2.0,0.0,21.0,2.5,3.0
3869,3.0,0.0,33.0,8.5,7.0
2777,0.0,1.0,2.0,13.5,0.0
2200,3.0,0.0,35.0,2.5,2.0
3080,2.0,0.0,27.0,4.5,6.0
2963,1.0,1.0,13.0,4.5,4.0
3010,2.0,0.0,23.0,3.5,2.0
2642,3.0,0.0,36.0,5.5,6.0
2540,0.0,2.0,5.0,3.5,7.0
3931,2.0,0.0,26.0,6.5,2.0
2368,0.0,2.0,6.0,1.5,6.0
3626,1.0,0.0,15.0,1.5,2.0
2466,1.0,0.0,16.0,9.5,3.0
3457,3.0,0.0,34.0,0.5,3.0
3025,0.0,1.0,4.0,0.5,7.0
2578,3.0,0.0,33.0,1.5,0.0
2060,1.0,1.0,12.0,5.5,5.0
2638,0.0,0.0,6.0,7.5,5.0
3744,0.0,1.0,3.0,2.5,1.0
2139,2.0,1.0,21.0,1.5,3.0
3980,2.0,0.0,25.0,5.5,4.0
2349,1.0,0.0,12.0,6.5,2.0
2495,1.0,1.0,18.0,0.5,2.0
3061,0.0,2.0,6.0,2.5,9.0
2128,1.0,0.0,16.0,4.5,10.0
3731,2.0,0.0,22.0,8.5,5.0
2451,2.0,0.0,22.0,4.5,5.0
2218,2.0,0.0,26.0,6.5,6.0
2001,3.0,0.0,35.0,2.5,7.0
2965,0.0,0.0,3.0,1.5,5.0
3909,0.0,1.0,5.0,0.5,4.0
3925,3.0,0.0,34.0,3.5,3.0
2899,3.0,0.0,31.0,2.5,7.0
2016,3.0,0.0,36.0,7.5,8.0
2164,0.0,0.0,1.0,0.5,6.0
2561,2.0,0.0,26.0,1.5,1.0
3374,3.0,0.0,31.0,2.5,12.0
3871,2.0,0.0,24.0,2.5,8.0
3738,3.0,0.0,37.0,3.5,7.0
2437,3.0,0.0,33.0,6.5,5.0
3763,1.0,1.0,14.0,5.5,2.0
3498,2.0,0.0,22.0,12.5,6.0
2998,2.0,0.0,24.0,0.5,1.0
2444,1.0,0.0,16.0,0.5,3.0
3751,2.0,0.0,23.0,0.5,3.0
2882,3.0,0.0,33.0,3.5,4.0
2563,3.0,1.0,32.0,5.5,4.0
2093,3.0,0.0,35.0,1.5,2.0
3050,4.0,0.0,43.0,0.5,3.0
3723,3.0,0.0,32.0,4.5,5.0
2492,2.0,0.0,23.0,0.5,3.0
3204,3.0,1.0,32.0,4.5,3.0
3867,1.0,0.0,13.0,3.5,1.0
3029,1.0,0.0,13.0,3.5,0.0
2216,1.0,1.0,11.0,0.5,4.0
2356,4.0,1.0,43.0,8.5,7.0
2924,2.0,0.0,26.0,1.5,3.0
3332,2.0,0.0,23.0,6.5,4.0
2162,3.0,0.0,31.0,9.5,3.0
3534,1.0,0.0,15.0,9.5,0.0
3714,2.0,0.0,29.0,5.5,5.0
3689,4.0,0.0,41.0,0.5,2.0
2235,0.0,0.0,3.0,7.5,3.0
2320,2.0,0.0,22.0,3.5,7.0
2874,3.0,0.0,35.0,2.5,7.0
2719,0.0,0.0,6.0,10.5,8.0
2052,2.0,0.0,25.0,2.5,5.0
2504,4.0,0.0,48.0,10.5,3.0
3462,1.0,0.0,11.0,1.5,1.0
3631,3.0,0.0,38.0,4.5,12.0
3711,3.0,0.0,34.0,2.5,4.0
