,u_x1,u_x2,u_x3,u_x4,u_y
2000,-0.09488777,-0.3332608,-0.055085547,0.0017659368,0.35410058
2001,-0.48601237,0.26247025,-0.12451675,0.051341724,0.7263732
2002,1.6946868,0.99459726,-0.040220436,0.05054273,0.5635606
2003,-1.2813299,-0.2847013,-0.20454946,0.076813646,0.11852872
2004,-0.30659363,1.089988,0.060906686,0.011803262,0.955716
2005,-0.6208776,-0.58478963,-0.12682343,0.04734124,0.458534
2006,0.9401963,-0.3339574,-0.1672839,0.02542499,0.7145221
2007,1.7390649,-0.86853474,0.04988839,0.0877998,0.6904197
2008,0.14199893,1.5003405,0.05174124,0.05575493,0.7570909
2009,-0.35515127,0.32217345,0.0011716217,-0.041214284,0.9965495
2010,1.9775811,0.10383095,-0.091285296,0.011053558,0.8873155
2011,-0.8640478,0.120871216,-0.1442747,-0.0074725836,0.4323331
2012,-0.57420963,0.2970396,0.24525467,0.109655954,0.4196577
2013,0.77147317,-2.006008,0.21108115,-0.15072416,0.049723268
2014,0.39858526,-0.56255645,-0.049035963,-0.018869897,0.26984608
2015,1.0792035,-0.12039248,-0.041673597,-0.22355592,0.41855788
2016,-1.7304518,-0.28839344,-0.06325576,-0.14175431,0.4726088
2017,-0.536158,2.499855,-0.03041648,0.11402148,0.82017064
2018,-0.83276516,0.2095598,0.030929778,0.16154832,0.13503933
2019,-0.107138194,-1.0270722,-0.05480473,0.018468548,0.7630216
2020,-0.21459274,-0.5532887,0.06674271,-0.010180282,0.555778
2021,0.720102,-0.9995914,0.17507671,-0.010182023,0.3840232
2022,-0.7484261,0.40131563,0.015968578,-0.18302236,0.5163399
2023,-0.8875942,0.16822879,0.093694456,0.07435315,0.35648227
2024,0.52880853,0.005824578,-0.056851692,0.0007890323,0.9769819
2025,1.6434711,-0.73641485,0.083907746,-0.05508092,0.051490307
2026,-0.20494899,-2.3287601,-0.12043756,-0.078394584,0.8811817
2027,-1.1566238,0.81301546,-0.03233081,0.16990064,0.5817853
2028,0.27416334,0.4497234,-0.030418608,-0.09543273,0.26911795
2029,-1.3414391,0.12915488,-0.16242765,0.13218641,0.6902362
2030,-2.020478,-0.101094276,0.09191608,-0.0013038119,0.04283619
2031,-0.1896837,-0.62773526,0.042869646,-0.28258356,0.5338825
2032,0.8031433,-0.84666723,0.12943594,-0.033278197,0.49235582
2033,0.1786796,0.12463493,0.11751574,-0.06885699,0.46673727
2034,-0.8207435,-0.2504622,0.14315186,0.13160409,0.5284567
