,years_experience,degree,nr_commits,nr_languages,nr_stars
2073,2.0,0.0,851.0,13.0,10.0
2890,0.0,0.0,844.0,7.0,10.0
3258,1.0,0.0,841.0,0.0,10.0
3986,1.0,1.0,851.0,1.0,10.0
2479,1.0,0.0,848.0,1.0,10.0
2523,2.0,0.0,846.0,3.0,10.0
2789,1.0,1.0,846.0,1.0,13.0
2714,2.0,0.0,853.0,1.0,10.0
3260,2.0,0.0,847.0,3.0,10.0
3526,0.0,2.0,849.0,5.0,10.0
2126,2.0,0.0,849.0,2.0,10.0
3005,1.0,0.0,850.0,1.0,10.0
3935,1.0,0.0,850.0,1.0,10.0
3534,1.0,0.0,846.0,2.0,10.0
3910,1.0,0.0,845.0,5.0,10.0
2738,1.0,0.0,849.0,11.0,10.0
3872,1.0,0.0,847.0,5.0,10.0
3244,2.0,1.0,856.0,1.0,10.0
2262,2.0,0.0,849.0,6.0,10.0
2284,2.0,0.0,1857.0,2.0,10.0
2973,0.0,2.0,1.0,11.0,11.0
3968,0.0,2.0,6.0,2.0,11.0
2038,2.0,0.0,848.0,0.0,10.0
2964,2.0,0.0,844.0,4.0,10.0
2156,0.0,1.0,853.0,9.0,10.0
3942,2.0,0.0,849.0,2.0,10.0
3412,1.0,0.0,846.0,2.0,10.0
2303,3.0,0.0,1861.0,0.0,10.0
3677,2.0,0.0,845.0,3.0,10.0
3340,0.0,0.0,847.0,1.0,10.0
2561,1.0,1.0,850.0,1.0,10.0
2413,1.0,0.0,850.0,1.0,10.0
2064,3.0,0.0,1856.0,2.0,10.0
3788,2.0,0.0,851.0,2.0,10.0
2300,0.0,0.0,848.0,10.0,10.0
3807,0.0,0.0,856.0,3.0,10.0
2373,2.0,0.0,845.0,2.0,10.0
3512,1.0,0.0,848.0,0.0,10.0
2019,1.0,0.0,846.0,5.0,10.0
2232,1.0,1.0,844.0,8.0,10.0
3178,2.0,0.0,1861.0,1.0,10.0
2501,2.0,0.0,851.0,4.0,10.0
2516,0.0,0.0,846.0,12.0,10.0
2254,1.0,1.0,849.0,1.0,10.0
2528,0.0,2.0,3.0,1.0,11.0
2916,3.0,0.0,1857.0,3.0,10.0
2069,1.0,1.0,848.0,2.0,10.0
