,years_experience,degree
2509,0.0,1.0
3206,2.0,0.0
2940,3.0,0.0
2332,0.0,2.0
2164,0.0,3.0
3498,1.0,1.0
3926,2.0,0.0
3232,0.0,1.0
3340,1.0,0.0
2423,3.0,0.0
3213,1.0,0.0
2718,0.0,1.0
3038,1.0,2.0
2137,0.0,1.0
2642,1.0,0.0
3803,1.0,0.0
2262,0.0,2.0
2519,0.0,3.0
2135,1.0,1.0
2074,2.0,0.0
3706,1.0,0.0
2381,0.0,1.0
2573,0.0,1.0
2781,0.0,2.0
2911,0.0,2.0
3180,3.0,0.0
2240,2.0,0.0
3262,0.0,3.0
2402,0.0,2.0
3173,1.0,1.0
3568,0.0,1.0
2540,0.0,1.0
2812,0.0,3.0
3496,0.0,2.0
2248,2.0,1.0
3355,0.0,3.0
3080,0.0,2.0
2847,0.0,1.0
2675,0.0,1.0
2729,0.0,3.0
2670,0.0,3.0
2097,2.0,0.0
3174,1.0,1.0
2565,0.0,2.0
3679,3.0,0.0
2191,0.0,1.0
3900,0.0,1.0
2571,0.0,3.0
3981,2.0,0.0
3220,0.0,2.0
2856,1.0,0.0
2151,2.0,1.0
2734,0.0,3.0
3392,1.0,0.0
2578,0.0,1.0
3997,0.0,1.0
2153,0.0,1.0
2695,0.0,1.0
3010,1.0,1.0
2439,1.0,0.0
3561,0.0,2.0
3748,1.0,0.0
2029,0.0,3.0
2815,2.0,1.0
3795,0.0,1.0
3885,0.0,2.0
2886,1.0,1.0
3866,0.0,1.0
3108,1.0,0.0
2652,0.0,2.0
3176,0.0,3.0
2910,0.0,1.0
3743,0.0,2.0
2452,1.0,0.0
3566,1.0,2.0
2409,0.0,1.0
2319,0.0,1.0
2665,0.0,2.0
3698,0.0,2.0
2241,2.0,0.0
2235,0.0,3.0
2909,0.0,2.0
2778,0.0,2.0
2258,0.0,1.0
2602,1.0,0.0
2727,0.0,2.0
2055,1.0,1.0
2225,0.0,3.0
2202,0.0,3.0
3721,2.0,0.0
3920,1.0,0.0
2334,1.0,0.0
3635,0.0,3.0
3731,0.0,2.0
3366,0.0,1.0
3583,0.0,2.0
2265,0.0,1.0
3633,0.0,2.0
3347,0.0,3.0
3918,0.0,2.0
3040,0.0,3.0
2490,1.0,0.0
3711,0.0,1.0
3657,0.0,1.0
3522,0.0,1.0
3054,0.0,3.0
3643,1.0,0.0
3242,0.0,3.0
2352,1.0,1.0
3703,0.0,3.0
3069,2.0,1.0
2842,0.0,2.0
2068,0.0,1.0
2465,0.0,3.0
3114,0.0,3.0
2421,0.0,1.0
2341,0.0,1.0
2446,0.0,2.0
3825,0.0,1.0
2185,1.0,1.0
2595,2.0,1.0
2836,0.0,2.0
2088,0.0,2.0
3551,0.0,1.0
3910,0.0,1.0
3049,0.0,1.0
3306,1.0,0.0
3050,1.0,0.0
3871,0.0,2.0
2467,0.0,2.0
3359,0.0,2.0
2682,0.0,2.0
2462,1.0,0.0
2056,0.0,2.0
2985,0.0,2.0
3214,2.0,0.0
2428,1.0,0.0
3096,0.0,3.0
3476,0.0,1.0
3585,0.0,3.0
2429,0.0,1.0
3851,1.0,0.0
3044,1.0,2.0
2650,1.0,2.0
2935,0.0,3.0
2371,1.0,0.0
2001,1.0,0.0
2449,0.0,1.0
2139,0.0,1.0
3592,2.0,0.0
3326,0.0,1.0
2376,0.0,3.0
3817,0.0,3.0
3656,0.0,3.0
2753,1.0,2.0
3673,0.0,3.0
2635,0.0,3.0
2560,0.0,2.0
3984,0.0,1.0
2471,2.0,0.0
2831,1.0,1.0
2744,0.0,2.0
2162,0.0,1.0
3497,0.0,2.0
2553,0.0,1.0
3822,2.0,0.0
2871,0.0,3.0
3893,0.0,3.0
3271,1.0,0.0
2584,2.0,0.0
3422,0.0,3.0
2084,0.0,2.0
2954,0.0,3.0
2160,0.0,3.0
2273,1.0,0.0
2488,2.0,1.0
2200,0.0,1.0
3530,0.0,3.0
2052,2.0,0.0
3652,1.0,0.0
2255,0.0,1.0
2899,0.0,1.0
2430,1.0,0.0
3647,0.0,3.0
3574,0.0,1.0
2668,2.0,1.0
2795,1.0,1.0
2924,0.0,2.0
3369,0.0,3.0
3322,0.0,3.0
3966,0.0,1.0
2208,1.0,0.0
2932,0.0,2.0
2879,3.0,0.0
2930,0.0,1.0
2817,2.0,0.0
2045,3.0,0.0
3812,0.0,3.0
3207,0.0,3.0
3909,0.0,2.0
