r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1,0.998333333,,0.965666652,0.003333333,0.5685,0,0,0,0.002886751,,0.016441785,0.002886751,0.02741806
individualized,acceptance,0.75,0.75,1,1,,0.997666677,0.006666667,0.592833333,0,0,0,0,,0.004041434,0.002886751,0.004193249
subpopulation,acceptance,0.75,0.75,1,0.813333333,,0.784666657,0.02,1.226842105,0,0,0,0.030550505,,0.015011123,0.008660254,0.023074011
subpopulation,acceptance,0.75,0.75,1,0.876666667,,0.901333372,0.015,1.183224029,0,0,0,0.025658007,,0.014153906,0.008660254,0.011815639
individualized,counterfactual,0.75,0.75,1,1,,0.97299999,0.001666667,1.034955837,0,0,0,0,,0.016462074,0.002886751,0.005049622
individualized,counterfactual,0.75,0.75,1,1,,0.997666677,0,1.014598747,0,0,0,0,,0.004041434,0,0.074685621
individualized,improvement,0.75,0.75,0.948333333,0.782112689,0.780349021,0.780349016,0.780349016,0.5515,0,0,0.002886751,0.023240155,0.0207942,0.020794185,0.020794185,0.010331989
individualized,improvement,0.75,0.75,0.945,0.796991677,0.796991677,0.796991666,0.796991666,0.5965,0,0,0.013228757,0.019989942,0.019989942,0.019989951,0.019989951,0.032105296
subpopulation,improvement,0.75,0.75,0.933333333,0.622323521,,0.622323533,0.622323533,0.441666667,0,0,0.025166115,0.053164268,,0.053164276,0.053164276,0.015885003
subpopulation,improvement,0.75,0.75,0.946666667,0.580891172,,0.580891192,0.580891192,0.539,0,0,0.007637626,0.037365191,,0.037365184,0.037365184,0.027013885
