,years_experience,degree,nr_commits,nr_languages,nr_stars
3929,0.0,0.0,852.0,2.0,1.0
2856,1.0,1.0,847.0,3.0,5.0
3575,3.0,0.0,1859.0,1.0,2.0
3066,3.0,0.0,1855.0,0.0,3.0
2433,1.0,0.0,845.0,1.0,1.0
3639,0.0,2.0,852.0,1.0,2.0
3015,0.0,0.0,857.0,14.0,0.0
3071,2.0,0.0,848.0,2.0,0.0
3476,1.0,2.0,847.0,7.0,4.0
3723,2.0,0.0,856.0,2.0,2.0
2182,2.0,1.0,849.0,9.0,0.0
3521,1.0,0.0,848.0,3.0,3.0
3870,1.0,0.0,845.0,5.0,4.0
2599,1.0,0.0,846.0,2.0,5.0
2920,3.0,0.0,847.0,7.0,6.0
2598,1.0,3.0,12.0,2.0,10.0
2780,2.0,1.0,847.0,3.0,3.0
2388,2.0,0.0,1855.0,7.0,9.0
3649,0.0,0.0,848.0,1.0,4.0
2262,3.0,0.0,2866.0,1.0,3.0
3913,0.0,2.0,846.0,1.0,3.0
2237,1.0,0.0,846.0,1.0,5.0
2996,3.0,0.0,1857.0,0.0,2.0
2488,2.0,0.0,850.0,4.0,8.0
3845,1.0,0.0,848.0,9.0,4.0
2875,1.0,2.0,850.0,4.0,4.0
2870,1.0,1.0,850.0,0.0,2.0
3040,0.0,2.0,845.0,1.0,10.0
3787,3.0,0.0,845.0,0.0,1.0
2343,1.0,0.0,846.0,8.0,3.0
3207,3.0,0.0,845.0,2.0,4.0
2173,2.0,0.0,851.0,7.0,3.0
3923,0.0,0.0,847.0,4.0,2.0
3597,1.0,0.0,851.0,1.0,5.0
2285,2.0,0.0,855.0,1.0,7.0
2213,2.0,1.0,847.0,2.0,3.0
3854,1.0,0.0,850.0,11.0,4.0
2084,1.0,0.0,843.0,4.0,4.0
3369,0.0,2.0,851.0,1.0,4.0
3480,3.0,0.0,848.0,2.0,4.0
3761,3.0,0.0,847.0,2.0,9.0
3841,0.0,2.0,852.0,1.0,4.0
3281,1.0,0.0,847.0,5.0,5.0
3853,2.0,1.0,852.0,1.0,6.0
2505,0.0,2.0,848.0,6.0,8.0
3786,2.0,0.0,855.0,4.0,1.0
3596,2.0,0.0,1859.0,4.0,1.0
3276,2.0,0.0,844.0,6.0,4.0
3385,2.0,0.0,1854.0,1.0,5.0
3115,3.0,0.0,855.0,7.0,4.0
2650,1.0,1.0,849.0,2.0,1.0
2627,3.0,0.0,1855.0,5.0,8.0
2207,1.0,1.0,845.0,3.0,8.0
2163,0.0,1.0,850.0,3.0,4.0
2796,2.0,0.0,853.0,2.0,5.0
2346,2.0,1.0,851.0,1.0,7.0
3826,1.0,1.0,844.0,1.0,5.0
3393,2.0,0.0,852.0,12.0,2.0
2180,4.0,0.0,848.0,8.0,4.0
3941,2.0,0.0,854.0,0.0,1.0
3705,2.0,1.0,1852.0,0.0,3.0
2816,1.0,0.0,847.0,11.0,4.0
3716,0.0,1.0,843.0,0.0,3.0
3470,2.0,0.0,850.0,8.0,6.0
3719,1.0,0.0,846.0,0.0,1.0
3612,2.0,0.0,1856.0,11.0,2.0
3002,0.0,2.0,847.0,4.0,1.0
2901,1.0,0.0,849.0,1.0,8.0
3208,0.0,1.0,846.0,5.0,4.0
3181,1.0,0.0,843.0,2.0,1.0
3818,0.0,1.0,854.0,0.0,6.0
2828,2.0,0.0,848.0,6.0,6.0
2361,2.0,0.0,847.0,0.0,2.0
2928,0.0,0.0,851.0,0.0,4.0
3157,1.0,0.0,845.0,1.0,2.0
2731,1.0,1.0,850.0,1.0,2.0
2716,1.0,0.0,846.0,2.0,3.0
3401,1.0,0.0,846.0,2.0,4.0
2073,2.0,0.0,847.0,1.0,3.0
2333,0.0,2.0,843.0,2.0,7.0
3976,2.0,0.0,848.0,4.0,6.0
2120,2.0,0.0,1859.0,5.0,1.0
3702,3.0,0.0,848.0,6.0,2.0
3039,1.0,2.0,849.0,4.0,2.0
3720,1.0,0.0,849.0,1.0,3.0
2670,1.0,0.0,850.0,5.0,10.0
2802,1.0,0.0,846.0,4.0,4.0
2663,2.0,0.0,854.0,1.0,3.0
2684,2.0,0.0,849.0,2.0,4.0
3191,0.0,2.0,847.0,11.0,3.0
3930,3.0,0.0,853.0,7.0,1.0
3850,1.0,0.0,846.0,0.0,2.0
3016,3.0,0.0,1858.0,1.0,4.0
2463,1.0,0.0,848.0,2.0,3.0
2690,1.0,0.0,850.0,1.0,1.0
3877,5.0,0.0,1857.0,2.0,5.0
3403,1.0,2.0,848.0,4.0,2.0
3533,2.0,1.0,1860.0,2.0,0.0
2535,2.0,0.0,855.0,6.0,6.0
3932,0.0,0.0,844.0,3.0,0.0
2734,2.0,1.0,857.0,1.0,4.0
3240,2.0,0.0,848.0,6.0,5.0
3103,0.0,0.0,850.0,4.0,0.0
2412,1.0,0.0,848.0,1.0,6.0
2174,1.0,1.0,851.0,6.0,3.0
3097,1.0,0.0,849.0,0.0,1.0
3310,0.0,1.0,846.0,3.0,6.0
2984,1.0,1.0,850.0,3.0,5.0
3258,1.0,2.0,848.0,4.0,1.0
2869,2.0,0.0,852.0,3.0,4.0
2353,0.0,0.0,843.0,6.0,3.0
3880,0.0,0.0,856.0,2.0,1.0
3452,2.0,1.0,1858.0,6.0,1.0
2997,2.0,0.0,852.0,3.0,3.0
3200,0.0,0.0,854.0,1.0,6.0
2926,1.0,2.0,855.0,0.0,6.0
3102,0.0,2.0,851.0,4.0,5.0
3214,1.0,0.0,843.0,2.0,4.0
3449,1.0,2.0,851.0,1.0,0.0
2919,0.0,1.0,851.0,5.0,2.0
2897,1.0,2.0,849.0,3.0,6.0
2148,3.0,0.0,854.0,0.0,3.0
2347,3.0,0.0,1861.0,1.0,2.0
3370,0.0,0.0,844.0,1.0,2.0
2031,0.0,0.0,849.0,13.0,4.0
2264,3.0,0.0,860.0,1.0,2.0
2100,2.0,1.0,1856.0,6.0,2.0
2880,1.0,1.0,851.0,1.0,2.0
3351,2.0,1.0,1856.0,1.0,5.0
2172,1.0,1.0,847.0,5.0,4.0
2866,3.0,0.0,849.0,5.0,6.0
3336,1.0,1.0,852.0,5.0,7.0
3368,2.0,0.0,845.0,12.0,1.0
3810,1.0,0.0,846.0,3.0,2.0
2223,0.0,1.0,851.0,4.0,5.0
2239,2.0,2.0,850.0,0.0,2.0
3075,2.0,0.0,1858.0,0.0,2.0
2131,1.0,0.0,850.0,6.0,10.0
2974,2.0,1.0,847.0,0.0,1.0
2006,2.0,1.0,841.0,1.0,2.0
3756,1.0,0.0,847.0,0.0,8.0
3136,1.0,0.0,849.0,1.0,8.0
