,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,0.955,0.75,0.75,0.8062826991081238,0.0,0.806282722513089,0.806282722513089,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,2,,0.8062826991081238,0.5835000000000001
1,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,2,,0.9930000305175781,0.5565000000000002
2,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,2,,0.9950000047683716,1.044324324324324
3,0.925,0.75,0.75,0.6000000238418579,0.0,0.6,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,2,,0.6000000238418579,0.5205000000000001
4,1.0,0.75,0.75,0.019999999552965164,0.0,0.925,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,2,,0.9180000424385071,1.236082474226804
5,0.97,0.75,0.75,0.8092783689498901,0.0,0.8092783505154639,0.8092783505154639,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,1,,0.8092783689498901,0.5355000000000001
6,1.0,0.75,0.75,0.004999999888241291,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,1,,0.9969999194145203,0.534
7,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,1,,0.9989999532699585,1.0074074074074069
8,0.945,0.75,0.75,0.5714285969734192,0.0,0.5714285714285714,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,1,,0.5714285969734192,0.5169999999999999
9,1.0,0.75,0.75,0.009999999776482582,0.0,0.91,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,1,,0.9030000567436218,1.2329787234042553
10,0.94,0.75,0.75,0.7819148898124695,0.0,0.7819148936170213,0.7819148936170213,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,0,,0.7819148898124695,0.5555000000000002
11,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,0,,0.9959999918937683,0.5585
12,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,0,,0.9930000305175781,0.9802197802197796
13,0.91,0.75,0.75,0.6043956279754639,0.0,0.6043956043956044,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,0,,0.6043956279754639,0.5155
14,1.0,0.75,0.75,0.02500000037252903,0.0,0.945,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,0,,0.9409999847412109,
