,years_experience,degree,nr_commits,nr_languages,nr_stars
2110,2.0,0.0,23.0,3.0,7.0
3249,0.0,0.0,2.0,7.0,2.0
2008,1.0,0.0,14.0,8.0,6.0
3549,0.0,1.0,2.0,3.0,6.0
2237,3.0,0.0,33.0,6.0,4.0
3366,2.0,0.0,23.0,7.0,3.0
3983,2.0,0.0,25.0,5.0,3.0
3883,2.0,1.0,23.0,5.0,6.0
3724,1.0,0.0,13.0,4.0,1.0
3503,1.0,0.0,17.0,8.0,1.0
2700,3.0,0.0,33.0,4.0,0.0
2338,1.0,0.0,13.0,2.0,0.0
2631,1.0,1.0,13.0,1.0,8.0
2478,1.0,0.0,13.0,2.0,2.0
2540,1.0,0.0,17.0,10.0,0.0
3295,0.0,0.0,2.0,4.0,4.0
3628,2.0,0.0,27.0,9.0,4.0
2640,0.0,2.0,2.0,1.0,2.0
3800,2.0,0.0,24.0,2.0,5.0
3355,0.0,1.0,6.0,1.0,5.0
2659,2.0,0.0,25.0,0.0,6.0
3476,1.0,0.0,11.0,9.0,5.0
3900,1.0,0.0,13.0,2.0,4.0
2767,2.0,0.0,23.0,3.0,6.0
2400,1.0,1.0,14.0,6.0,5.0
2982,1.0,2.0,14.0,3.0,5.0
2949,2.0,0.0,25.0,3.0,5.0
2656,1.0,0.0,13.0,3.0,12.0
2197,3.0,0.0,35.0,4.0,4.0
2724,2.0,0.0,23.0,2.0,2.0
3492,3.0,0.0,38.0,4.0,2.0
3688,1.0,1.0,16.0,6.0,3.0
3309,1.0,0.0,13.0,7.0,4.0
3106,3.0,0.0,36.0,2.0,4.0
3599,1.0,1.0,17.0,4.0,11.0
3024,0.0,3.0,3.0,3.0,11.0
2792,1.0,0.0,13.0,5.0,7.0
3755,1.0,0.0,15.0,5.0,17.0
2924,1.0,0.0,15.0,2.0,3.0
3494,2.0,0.0,28.0,1.0,6.0
2263,2.0,0.0,23.0,0.0,8.0
3677,3.0,0.0,35.0,3.0,3.0
3915,4.0,0.0,40.0,9.0,2.0
2065,2.0,0.0,22.0,0.0,3.0
2149,0.0,2.0,4.0,2.0,3.0
2684,1.0,0.0,13.0,8.0,4.0
2447,0.0,0.0,6.0,3.0,2.0
3294,1.0,0.0,14.0,3.0,4.0
3349,2.0,1.0,25.0,4.0,6.0
2843,0.0,3.0,6.0,3.0,10.0
3041,2.0,0.0,26.0,2.0,4.0
3038,3.0,0.0,37.0,5.0,4.0
3658,3.0,1.0,31.0,2.0,4.0
2936,1.0,0.0,15.0,2.0,2.0
3993,0.0,2.0,2.0,6.0,1.0
2732,3.0,0.0,32.0,4.0,2.0
3585,2.0,0.0,24.0,3.0,2.0
3787,2.0,1.0,22.0,5.0,11.0
3276,3.0,0.0,33.0,3.0,4.0
2765,2.0,0.0,21.0,2.0,2.0
2730,1.0,0.0,15.0,0.0,2.0
2840,0.0,2.0,5.0,7.0,3.0
2127,1.0,0.0,16.0,9.0,5.0
2101,2.0,1.0,21.0,5.0,1.0
2870,4.0,0.0,43.0,1.0,7.0
2303,3.0,0.0,37.0,6.0,1.0
2558,2.0,0.0,24.0,10.0,5.0
3081,0.0,2.0,6.0,5.0,4.0
3001,0.0,1.0,1.0,8.0,4.0
2386,4.0,0.0,41.0,6.0,4.0
3444,2.0,0.0,23.0,4.0,6.0
3855,0.0,0.0,4.0,4.0,5.0
3321,1.0,0.0,14.0,3.0,2.0
2605,3.0,0.0,38.0,1.0,1.0
3848,0.0,0.0,1.0,2.0,5.0
3653,1.0,2.0,12.0,2.0,4.0
3346,2.0,0.0,24.0,12.0,8.0
3769,1.0,0.0,13.0,9.0,3.0
3524,2.0,0.0,25.0,2.0,4.0
2359,3.0,0.0,34.0,1.0,7.0
3743,2.0,1.0,21.0,4.0,9.0
3980,2.0,1.0,21.0,1.0,4.0
2658,2.0,0.0,24.0,3.0,11.0
2285,3.0,0.0,34.0,7.0,2.0
2997,4.0,0.0,43.0,8.0,9.0
2361,2.0,1.0,24.0,2.0,7.0
3878,1.0,0.0,12.0,3.0,2.0
2171,1.0,0.0,15.0,5.0,11.0
3934,0.0,1.0,4.0,4.0,5.0
3657,1.0,0.0,13.0,15.0,7.0
2595,0.0,0.0,6.0,0.0,4.0
2362,1.0,0.0,11.0,3.0,5.0
3013,2.0,0.0,23.0,2.0,4.0
2883,1.0,2.0,14.0,2.0,3.0
3876,2.0,0.0,24.0,4.0,1.0
2945,2.0,1.0,21.0,6.0,1.0
2815,0.0,1.0,2.0,1.0,6.0
3091,1.0,2.0,13.0,3.0,4.0
3533,0.0,2.0,2.0,1.0,5.0
2225,1.0,0.0,12.0,4.0,3.0
3989,1.0,2.0,13.0,3.0,3.0
2587,1.0,1.0,16.0,5.0,6.0
3740,1.0,1.0,15.0,0.0,9.0
3635,1.0,2.0,12.0,3.0,9.0
2754,1.0,0.0,16.0,1.0,8.0
3788,2.0,0.0,22.0,2.0,11.0
3554,0.0,2.0,7.0,1.0,5.0
3188,3.0,0.0,34.0,1.0,3.0
3491,0.0,0.0,3.0,2.0,1.0
2821,2.0,0.0,24.0,2.0,6.0
3289,3.0,0.0,35.0,2.0,7.0
2820,4.0,0.0,45.0,4.0,7.0
3856,2.0,0.0,21.0,3.0,0.0
3140,0.0,1.0,4.0,8.0,4.0
3121,1.0,0.0,14.0,2.0,4.0
3318,2.0,0.0,25.0,2.0,0.0
3828,0.0,2.0,5.0,2.0,0.0
2667,2.0,0.0,25.0,2.0,2.0
3108,1.0,0.0,17.0,0.0,3.0
3692,2.0,0.0,24.0,3.0,1.0
2306,1.0,0.0,16.0,4.0,2.0
2003,3.0,0.0,35.0,1.0,2.0
2806,2.0,1.0,24.0,4.0,1.0
2349,2.0,0.0,25.0,3.0,1.0
3943,1.0,1.0,10.0,2.0,3.0
2798,2.0,1.0,28.0,5.0,4.0
2791,1.0,2.0,14.0,8.0,3.0
2179,2.0,0.0,25.0,2.0,4.0
3089,2.0,1.0,21.0,9.0,1.0
2836,2.0,0.0,22.0,3.0,7.0
3665,4.0,0.0,44.0,8.0,3.0
2496,3.0,0.0,34.0,2.0,2.0
2086,1.0,0.0,17.0,4.0,1.0
3908,0.0,0.0,2.0,9.0,6.0
3288,1.0,1.0,15.0,3.0,1.0
3887,1.0,1.0,13.0,4.0,2.0
3764,2.0,0.0,24.0,1.0,8.0
2697,1.0,2.0,14.0,4.0,1.0
3936,3.0,0.0,35.0,2.0,5.0
2761,0.0,0.0,2.0,8.0,2.0
3565,2.0,1.0,25.0,8.0,3.0
2244,1.0,1.0,13.0,7.0,2.0
3539,1.0,0.0,13.0,3.0,5.0
3350,1.0,1.0,13.0,1.0,4.0
3801,2.0,0.0,24.0,1.0,2.0
3324,1.0,1.0,16.0,10.0,2.0
2194,3.0,0.0,36.0,5.0,1.0
2085,1.0,0.0,14.0,3.0,1.0
2437,1.0,0.0,11.0,3.0,1.0
3627,2.0,0.0,25.0,11.0,2.0
3387,3.0,0.0,34.0,11.0,2.0
2762,1.0,0.0,18.0,1.0,8.0
3077,1.0,0.0,14.0,15.0,2.0
3040,0.0,2.0,4.0,3.0,2.0
2563,3.0,0.0,32.0,18.0,8.0
2431,1.0,0.0,11.0,6.0,2.0
2240,0.0,1.0,4.0,3.0,4.0
2808,4.0,0.0,44.0,8.0,6.0
3616,0.0,3.0,7.0,2.0,0.0
2733,2.0,0.0,21.0,2.0,8.0
3738,2.0,0.0,23.0,0.0,1.0
2993,1.0,2.0,14.0,0.0,3.0
3332,0.0,0.0,4.0,0.0,0.0
2042,1.0,0.0,12.0,2.0,1.0
3852,4.0,0.0,41.0,4.0,3.0
2452,1.0,0.0,14.0,6.0,6.0
3437,0.0,2.0,1.0,0.0,9.0
2491,0.0,0.0,4.0,1.0,8.0
2500,1.0,1.0,15.0,0.0,5.0
3516,1.0,1.0,13.0,6.0,4.0
3560,1.0,0.0,11.0,0.0,3.0
2027,2.0,0.0,22.0,10.0,1.0
3629,1.0,1.0,13.0,7.0,5.0
2173,2.0,0.0,22.0,1.0,0.0
2860,0.0,2.0,2.0,2.0,5.0
2183,0.0,1.0,2.0,4.0,0.0
3981,3.0,1.0,34.0,10.0,2.0
3971,2.0,0.0,25.0,2.0,2.0
2893,0.0,0.0,3.0,4.0,2.0
2345,3.0,0.0,31.0,3.0,6.0
3079,1.0,2.0,13.0,1.0,4.0
2777,2.0,0.0,25.0,1.0,4.0
3725,2.0,0.0,26.0,6.0,6.0
3979,1.0,1.0,14.0,4.0,0.0
3602,1.0,0.0,15.0,2.0,10.0
2293,3.0,0.0,34.0,0.0,0.0
3862,1.0,0.0,13.0,4.0,4.0
2429,1.0,2.0,18.0,10.0,3.0
2220,2.0,0.0,22.0,11.0,5.0
2710,1.0,0.0,11.0,2.0,4.0
2191,0.0,0.0,3.0,7.0,4.0
2441,3.0,0.0,33.0,3.0,5.0
3926,1.0,0.0,13.0,3.0,0.0
2556,2.0,0.0,23.0,6.0,5.0
2409,2.0,0.0,23.0,2.0,4.0
2396,3.0,0.0,33.0,17.0,5.0
2598,0.0,0.0,5.0,2.0,6.0
3337,0.0,1.0,7.0,1.0,7.0
2624,2.0,1.0,26.0,14.0,4.0
3422,3.0,0.0,34.0,4.0,5.0
