,x1,x2
3871,1.9,4.0
2196,1.8,-0.0
3385,0.9,2.6
3320,1.5,2.0
2574,0.3,-0.0
2575,2.4,-0.0
2294,1.0,2.0
3528,0.5,0.5
2473,2.5,0.0
2510,1.1,0.0
3336,2.5,0.0
2936,1.7,0.0
2581,0.5,0.0
2286,0.9,0.0
2561,1.2,-0.0
3963,1.8,-0.0
2135,0.1,-0.0
3041,0.1,2.0
3873,1.5,0.0
2126,0.1,-0.0
3424,1.6,0.1
3237,0.1,-0.0
3556,0.6,1.8
3248,2.8,-0.0
2257,1.3,-0.0
3515,0.4,1.6
3483,0.2,2.5
2200,2.1,4.0
3252,0.9,0.0
3529,0.4,0.2
2245,1.2,-0.0
2487,0.9,0.8
2959,1.2,-0.0
3670,1.0,0.4
2059,1.6,-0.0
2113,1.2,1.8
2904,-0.0,0.5
2090,1.1,0.0
3798,-0.0,0.1
2226,2.2,2.6
3867,0.8,-0.0
3146,0.5,-0.0
2277,0.7,0.7
3983,1.9,2.6
3736,2.0,3.1
2484,0.8,2.4
2237,1.5,2.1
2438,1.3,-0.0
3816,0.7,0.6
3503,1.3,0.0
2793,0.9,3.3
3101,1.3,0.0
3622,0.8,-0.0
2665,1.1,0.0
3663,0.9,-0.0
3609,0.1,0.2
3187,3.1,4.2
3437,0.0,0.1
3805,0.6,-0.0
3923,0.7,0.4
2708,2.5,0.0
3763,0.1,3.6
2786,1.8,-0.0
3036,0.2,-0.0
2415,1.0,3.0
2460,1.5,0.0
2314,0.0,3.5
3729,0.4,2.7
3253,2.1,2.3
2163,0.1,3.9
2655,0.1,0.2
3641,0.1,0.5
3015,2.4,-0.0
3760,2.3,0.0
3269,2.6,0.0
2771,1.5,-0.0
2646,1.8,0.0
3630,1.0,-0.0
2967,0.1,1.9
3794,2.1,-0.0
3328,1.2,4.5
2186,0.4,-0.0
3276,1.9,0.0
2256,0.2,3.1
2062,0.8,0.0
2232,1.5,3.3
2401,0.9,3.1
3968,0.0,0.2
3448,1.3,-0.0
2695,0.7,-0.0
2004,2.1,1.9
2269,2.6,1.7
3915,0.2,2.2
3985,1.8,-0.0
3564,0.6,-0.0
3965,1.0,0.0
2589,0.5,-0.1
3577,0.4,0.5
3126,1.0,3.5
3471,1.0,0.0
2137,1.4,0.0
3645,2.4,3.5
3782,0.0,1.3
2650,0.6,0.3
3993,1.4,-0.0
3298,0.9,-0.0
3274,0.9,3.0
2993,0.2,-0.0
2469,2.1,0.0
3380,1.7,0.0
2597,0.9,1.3
2836,2.0,-0.0
3104,0.9,0.0
2781,0.3,3.3
2447,2.3,1.2
2489,1.5,0.5
3949,0.2,0.1
3119,0.4,0.0
3115,1.1,0.0
3811,1.6,2.6
2437,0.9,-0.0
3990,1.5,0.0
2178,0.9,0.0
3545,1.6,0.0
3602,0.9,-0.0
3309,1.3,0.6
2156,1.5,-0.0
2998,0.4,-0.0
2461,1.7,0.0
3668,2.3,4.0
2689,1.0,-0.0
2148,3.0,3.1
3640,1.6,0.0
2981,1.4,0.0
3100,0.5,0.0
3037,2.3,0.0
2373,1.7,0.0
2592,2.0,0.0
3720,0.7,3.6
3264,0.7,2.1
3065,3.0,3.8
2486,3.7,3.9
3520,1.7,3.8
3978,1.0,-0.0
2875,0.5,1.5
3773,0.7,-0.0
2831,1.9,-0.0
3629,-0.0,0.2
3683,3.1,2.5
3979,1.0,0.0
2365,0.3,3.1
2693,2.1,-0.0
3772,1.4,-0.0
3513,1.1,0.0
2740,1.0,-0.0
2265,1.2,-0.0
3856,0.5,0.0
3148,1.8,0.0
3586,0.1,0.1
3497,3.2,4.0
3925,2.3,2.0
3560,1.3,0.0
2082,0.0,1.9
2266,0.3,0.3
2824,0.5,0.0
2392,0.4,-0.0
3150,1.6,-0.0
2612,0.6,-0.0
2282,2.1,2.9
2556,1.2,0.3
2074,0.5,0.0
2517,0.0,3.0
2340,1.6,0.0
2388,0.6,0.4
3060,1.0,1.5
2167,1.5,0.0
3411,1.3,3.0
3224,0.7,0.0
2225,1.6,0.0
3697,1.7,-0.0
2165,1.4,-0.0
3090,0.9,-0.0
3329,0.3,2.6
2731,0.1,1.3
2019,-0.1,-0.0
2107,0.7,4.1
3022,0.0,0.1
2881,2.2,-0.0
2450,0.1,0.2
3161,1.8,0.0
3440,1.9,0.0
2055,2.1,3.1
2546,2.3,0.3
3686,0.8,1.1
2725,1.7,0.0
2368,1.5,0.0
2565,1.0,0.0
3490,1.5,2.0
2819,0.8,0.4
2428,0.2,0.9
