,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,6.0,2.0,0.7694553,9.0,7.0,3.0
2001,6.0,0.0,0.06519914,3.0,0.0,6.0
2002,4.0,2.0,0.8988528,6.0,6.0,8.0
2003,1.0,0.0,0.31484938,2.0,6.0,2.0
2004,0.0,0.0,0.69861937,1.0,4.0,8.0
2005,3.0,0.0,0.8184395,2.0,3.0,9.0
2006,4.0,1.0,0.79864275,3.0,0.0,2.0
2007,1.0,0.0,0.9054378,4.0,5.0,2.0
2008,4.0,2.0,0.33921218,3.0,8.0,7.0
2009,2.0,1.0,0.63245165,1.0,1.0,2.0
2010,6.0,0.0,0.2982949,3.0,9.0,1.0
2011,5.0,1.0,0.34135187,5.0,0.0,0.0
2012,0.0,0.0,0.46323347,2.0,9.0,0.0
2013,5.0,2.0,0.44768524,5.0,10.0,5.0
2014,2.0,0.0,0.33670735,5.0,3.0,5.0
2015,4.0,2.0,0.33008075,5.0,3.0,1.0
2016,5.0,1.0,0.06564307,1.0,2.0,6.0
2017,3.0,1.0,0.91780806,9.0,4.0,4.0
2018,2.0,2.0,0.6970947,6.0,2.0,7.0
2019,3.0,2.0,0.988251,6.0,6.0,1.0
2020,4.0,0.0,0.33059442,4.0,2.0,0.0
2021,1.0,0.0,0.11792278,3.0,4.0,4.0
2022,2.0,2.0,0.7837404,3.0,5.0,3.0
2023,2.0,2.0,0.63507724,4.0,5.0,8.0
2024,2.0,3.0,0.60995567,5.0,2.0,4.0
2025,5.0,2.0,0.8227284,2.0,3.0,7.0
2026,4.0,2.0,0.300341,5.0,16.0,3.0
2027,4.0,2.0,0.057519913,8.0,8.0,0.0
2028,3.0,2.0,0.99491286,5.0,4.0,2.0
2029,1.0,3.0,0.18691754,4.0,4.0,2.0
2030,2.0,0.0,0.40348673,4.0,14.0,3.0
2031,4.0,2.0,0.8475989,1.0,0.0,5.0
2032,5.0,0.0,0.0799948,7.0,10.0,1.0
2033,6.0,0.0,0.91848135,3.0,16.0,6.0
2034,4.0,2.0,0.39963615,3.0,11.0,3.0
2035,2.0,0.0,0.708771,8.0,5.0,5.0
2036,3.0,0.0,0.27057672,8.0,0.0,5.0
2037,5.0,0.0,0.8530729,4.0,2.0,11.0
2038,0.0,1.0,0.6088314,5.0,2.0,7.0
2039,2.0,3.0,0.33667362,2.0,8.0,3.0
2040,2.0,3.0,0.47146297,5.0,8.0,7.0
2041,3.0,2.0,0.16129088,6.0,3.0,1.0
2042,1.0,1.0,0.53976226,2.0,1.0,2.0
2043,6.0,2.0,0.019342422,5.0,2.0,2.0
2044,4.0,0.0,0.3537985,6.0,10.0,2.0
2045,4.0,2.0,0.22037709,7.0,7.0,0.0
2046,5.0,2.0,0.32613158,3.0,0.0,8.0
2047,2.0,3.0,0.21945488,3.0,5.0,2.0
2048,5.0,1.0,0.46154237,1.0,2.0,7.0
2049,5.0,1.0,0.5627997,3.0,4.0,2.0
2050,5.0,2.0,0.7455621,2.0,6.0,2.0
2051,3.0,0.0,0.7414335,5.0,9.0,0.0
2052,2.0,1.0,0.29704177,5.0,16.0,5.0
2053,4.0,2.0,0.22124171,3.0,1.0,4.0
2054,3.0,0.0,0.8662317,8.0,4.0,0.0
2055,6.0,3.0,0.086858034,3.0,7.0,3.0
2056,4.0,2.0,0.57025325,2.0,5.0,2.0
2057,2.0,0.0,0.93372285,7.0,11.0,6.0
2058,0.0,1.0,0.056806445,3.0,2.0,2.0
2059,3.0,2.0,0.32166183,3.0,2.0,2.0
2060,2.0,3.0,0.49783182,2.0,6.0,4.0
2061,2.0,3.0,0.10191846,3.0,3.0,0.0
2062,5.0,3.0,0.661505,3.0,1.0,5.0
2063,2.0,1.0,0.30359983,4.0,0.0,2.0
2064,4.0,1.0,0.7536268,7.0,1.0,2.0
2065,3.0,0.0,0.7811209,0.0,8.0,1.0
2066,1.0,0.0,0.23186123,5.0,3.0,7.0
2067,4.0,2.0,0.5222212,4.0,6.0,5.0
2068,4.0,0.0,0.36434722,1.0,4.0,3.0
2069,5.0,2.0,0.31966853,9.0,6.0,4.0
2070,6.0,0.0,0.75482535,2.0,1.0,0.0
2071,2.0,0.0,0.060228705,2.0,3.0,2.0
2072,5.0,0.0,0.4787637,3.0,2.0,10.0
2073,6.0,2.0,0.3484192,4.0,7.0,5.0
2074,2.0,2.0,0.46977592,1.0,8.0,2.0
2075,8.0,2.0,0.54787993,4.0,1.0,3.0
2076,3.0,0.0,0.39801538,3.0,10.0,7.0
2077,5.0,0.0,0.34882307,3.0,13.0,1.0
2078,4.0,0.0,0.33380353,5.0,3.0,9.0
2079,2.0,2.0,0.43229616,3.0,1.0,7.0
2080,3.0,1.0,0.44184303,3.0,6.0,9.0
2081,3.0,3.0,0.5803158,4.0,1.0,1.0
2082,1.0,1.0,0.41393542,4.0,7.0,10.0
2083,3.0,1.0,0.4095615,3.0,4.0,5.0
2084,1.0,3.0,0.42074788,9.0,5.0,1.0
2085,1.0,1.0,0.6893656,1.0,2.0,1.0
2086,6.0,0.0,0.12129414,0.0,3.0,3.0
2087,3.0,0.0,0.8088124,2.0,5.0,6.0
2088,4.0,3.0,0.5331209,4.0,2.0,9.0
2089,4.0,1.0,0.84746206,4.0,0.0,1.0
2090,4.0,2.0,0.6677091,4.0,3.0,4.0
2091,3.0,3.0,0.5963553,4.0,6.0,1.0
2092,3.0,3.0,0.29050195,5.0,2.0,5.0
2093,2.0,2.0,0.18447566,5.0,4.0,2.0
2094,3.0,1.0,0.36053717,2.0,6.0,2.0
2095,1.0,2.0,0.11062217,4.0,6.0,2.0
2096,8.0,2.0,0.12707448,2.0,0.0,4.0
2097,0.0,0.0,0.22939873,6.0,3.0,6.0
2098,2.0,0.0,0.36944485,1.0,5.0,5.0
2099,4.0,1.0,0.3714764,5.0,4.0,1.0
2100,5.0,1.0,0.9705807,2.0,2.0,5.0
2101,2.0,0.0,0.044501543,5.0,8.0,11.0
2102,0.0,2.0,0.32747602,3.0,5.0,10.0
2103,2.0,1.0,0.6664759,1.0,2.0,1.0
2104,1.0,2.0,0.1663506,5.0,9.0,6.0
2105,6.0,3.0,0.5265877,5.0,5.0,4.0
2106,6.0,3.0,0.29817784,3.0,5.0,10.0
2107,5.0,0.0,0.60499036,7.0,3.0,2.0
2108,4.0,2.0,0.20927978,3.0,1.0,2.0
2109,3.0,1.0,0.59619915,6.0,1.0,9.0
2110,3.0,1.0,0.51495814,2.0,0.0,11.0
2111,0.0,2.0,0.5913049,6.0,5.0,3.0
2112,4.0,0.0,0.4840896,5.0,3.0,8.0
2113,6.0,2.0,0.4963776,3.0,1.0,4.0
2114,4.0,0.0,0.4935633,3.0,6.0,1.0
2115,10.0,0.0,0.3191234,1.0,0.0,3.0
2116,4.0,1.0,0.0018174648,8.0,3.0,6.0
2117,4.0,0.0,0.76853263,6.0,0.0,9.0
2118,1.0,0.0,0.31371748,8.0,4.0,5.0
2119,2.0,0.0,0.15624237,5.0,3.0,4.0
2120,4.0,3.0,0.98246443,5.0,0.0,2.0
2121,2.0,2.0,0.7540798,2.0,7.0,3.0
2122,1.0,2.0,0.22164452,7.0,6.0,1.0
2123,3.0,0.0,0.37280416,6.0,2.0,3.0
2124,2.0,2.0,0.45792413,4.0,1.0,5.0
2125,1.0,0.0,0.10998464,1.0,2.0,4.0
2126,1.0,2.0,0.82625234,1.0,2.0,4.0
2127,5.0,0.0,0.92557895,5.0,4.0,9.0
2128,6.0,3.0,0.25938296,4.0,2.0,3.0
2129,3.0,1.0,0.26846027,5.0,3.0,2.0
2130,4.0,0.0,0.09349716,0.0,3.0,4.0
2131,1.0,1.0,0.8119072,4.0,10.0,7.0
2132,4.0,1.0,0.3876574,8.0,7.0,1.0
2133,6.0,0.0,0.9812285,4.0,8.0,1.0
2134,5.0,1.0,0.6133808,4.0,4.0,4.0
2135,3.0,0.0,0.33193052,0.0,2.0,1.0
2136,1.0,2.0,0.9981849,7.0,2.0,3.0
2137,1.0,2.0,0.105159044,6.0,5.0,1.0
2138,3.0,2.0,0.33096242,2.0,5.0,3.0
2139,2.0,1.0,0.5833826,4.0,8.0,2.0
2140,5.0,0.0,0.27892935,6.0,4.0,4.0
2141,4.0,1.0,0.99947846,6.0,0.0,3.0
2142,1.0,0.0,0.87644565,2.0,0.0,2.0
2143,3.0,1.0,0.012682319,9.0,6.0,5.0
2144,4.0,2.0,0.9454062,6.0,1.0,3.0
2145,3.0,3.0,0.05587244,5.0,4.0,4.0
2146,1.0,1.0,0.993063,4.0,0.0,7.0
2147,4.0,0.0,0.49645352,2.0,1.0,12.0
2148,1.0,1.0,0.9776205,3.0,7.0,3.0
2149,1.0,2.0,0.1368736,2.0,9.0,6.0
2150,5.0,2.0,0.12445712,3.0,2.0,5.0
2151,3.0,0.0,0.14674139,7.0,9.0,4.0
2152,5.0,0.0,0.29575813,6.0,5.0,9.0
2153,2.0,0.0,0.6182114,4.0,3.0,5.0
2154,0.0,1.0,0.857834,5.0,5.0,5.0
2155,3.0,1.0,0.2843274,0.0,1.0,3.0
2156,1.0,0.0,0.4206823,3.0,2.0,2.0
2157,0.0,0.0,0.52535427,4.0,8.0,3.0
2158,2.0,3.0,0.13470793,4.0,21.0,4.0
2159,4.0,0.0,0.5470083,3.0,5.0,2.0
2160,3.0,2.0,0.042936683,3.0,0.0,1.0
2161,1.0,1.0,0.18475008,7.0,5.0,2.0
2162,6.0,2.0,0.30930364,6.0,3.0,0.0
2163,4.0,3.0,0.111766934,5.0,2.0,4.0
2164,1.0,2.0,0.3776307,1.0,3.0,10.0
2165,4.0,1.0,0.9744797,4.0,4.0,1.0
2166,1.0,1.0,0.33400726,0.0,6.0,5.0
2167,3.0,0.0,0.023459435,2.0,7.0,2.0
2168,4.0,2.0,0.3539964,5.0,2.0,3.0
2169,1.0,0.0,0.56739235,3.0,4.0,3.0
2170,4.0,2.0,0.83165956,3.0,10.0,4.0
2171,3.0,0.0,0.042108417,5.0,3.0,2.0
2172,2.0,3.0,0.35691786,7.0,6.0,9.0
2173,2.0,0.0,0.15769088,3.0,5.0,0.0
2174,3.0,0.0,0.43413484,1.0,4.0,6.0
2175,6.0,1.0,0.63094676,10.0,7.0,2.0
2176,1.0,0.0,0.22179508,3.0,1.0,6.0
2177,7.0,0.0,0.63184845,8.0,4.0,1.0
2178,0.0,3.0,0.6836755,2.0,5.0,7.0
2179,3.0,1.0,0.22640884,7.0,4.0,4.0
2180,1.0,0.0,0.0020735264,3.0,4.0,7.0
2181,2.0,0.0,0.73286617,1.0,2.0,8.0
2182,3.0,0.0,0.7119987,3.0,4.0,4.0
2183,2.0,2.0,0.78057086,6.0,4.0,8.0
2184,4.0,3.0,0.24554026,4.0,7.0,4.0
2185,5.0,0.0,0.0912987,3.0,2.0,3.0
2186,2.0,1.0,0.6550453,2.0,2.0,6.0
2187,2.0,3.0,0.08775246,3.0,1.0,4.0
2188,8.0,0.0,0.081151485,6.0,0.0,1.0
2189,0.0,1.0,0.061234713,4.0,9.0,8.0
2190,0.0,0.0,0.9845371,9.0,9.0,3.0
2191,4.0,3.0,0.3154354,4.0,0.0,3.0
2192,2.0,2.0,0.5897232,10.0,2.0,1.0
2193,4.0,1.0,0.5782412,4.0,3.0,5.0
2194,6.0,3.0,0.34158182,7.0,1.0,0.0
2195,9.0,0.0,0.3007537,4.0,3.0,0.0
2196,1.0,0.0,0.7465172,3.0,4.0,3.0
2197,1.0,0.0,0.26795685,4.0,3.0,1.0
2198,4.0,0.0,0.45091724,2.0,4.0,4.0
2199,6.0,2.0,0.56587815,3.0,3.0,7.0
2200,3.0,2.0,0.3960222,4.0,1.0,3.0
2201,4.0,0.0,0.5200949,4.0,1.0,2.0
2202,7.0,1.0,0.0016958714,4.0,4.0,6.0
2203,7.0,2.0,0.50274134,1.0,11.0,3.0
2204,3.0,3.0,0.5231966,7.0,12.0,4.0
2205,2.0,2.0,0.87728786,8.0,5.0,3.0
2206,4.0,1.0,0.2316351,4.0,1.0,3.0
2207,1.0,2.0,0.16966367,2.0,3.0,3.0
2208,6.0,0.0,0.52278674,8.0,3.0,2.0
2209,1.0,0.0,0.73998487,7.0,1.0,0.0
2210,2.0,0.0,0.029562116,6.0,3.0,3.0
2211,4.0,2.0,0.46759188,2.0,7.0,3.0
2212,3.0,2.0,0.00872612,4.0,4.0,7.0
2213,4.0,2.0,0.55642426,7.0,4.0,0.0
2214,4.0,1.0,0.96000814,6.0,2.0,3.0
2215,7.0,2.0,0.60469866,2.0,3.0,6.0
2216,4.0,3.0,0.49098957,6.0,1.0,4.0
2217,1.0,1.0,0.7159307,4.0,4.0,3.0
2218,3.0,0.0,0.313694,5.0,0.0,6.0
2219,6.0,2.0,0.92573154,5.0,5.0,4.0
2220,5.0,3.0,0.88439584,3.0,2.0,2.0
2221,0.0,0.0,0.6450151,1.0,1.0,3.0
2222,2.0,0.0,0.32258284,3.0,2.0,4.0
2223,3.0,0.0,0.45551825,4.0,1.0,8.0
2224,5.0,2.0,0.2915027,5.0,5.0,2.0
2225,3.0,1.0,0.00095295906,3.0,10.0,3.0
2226,1.0,2.0,0.23749363,3.0,4.0,2.0
2227,1.0,1.0,0.43604398,3.0,1.0,4.0
2228,10.0,1.0,0.1799171,5.0,10.0,8.0
2229,0.0,0.0,0.82547235,2.0,6.0,3.0
