r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.9893333514531454,0.006666666517655055,0.5461666666666667,0.0,0.0,0.0,0.0,,0.005686282799907859,0.007637625987545485,0.025447658700425535
individualized,acceptance,0.85,0.85,1.0,1.0,,0.9959999918937683,0.0,0.5561666666666666,0.0,0.0,0.0,0.0,,0.0040000081062316895,0.0,0.016158073317488343
individualized,acceptance,0.9,0.9,1.0,1.0,,0.990666667620341,0.0,0.5673333333333331,0.0,0.0,0.0,0.0,,0.01616580588549715,0.0,0.005923118547972181
individualized,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.9956666628519694,0.0,0.5726666666666667,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.00230937134490504,0.0,0.02486128181195261
subpopulation,acceptance,0.75,0.75,1.0,0.9133333333333334,,0.9043333133061727,0.011666666405896345,0.49566666666666653,0.0,0.0,0.0,0.020207259421636918,,0.026274217630152884,0.010408329764686359,0.012392874296680874
subpopulation,acceptance,0.85,0.85,1.0,0.9516666666666667,,0.9423333207766215,0.0033333332588275275,0.5236666666666666,0.0,0.0,0.0,0.011547005383792525,,0.004932956295519905,0.002886751281424208,0.0028431203515389817
subpopulation,acceptance,0.9,0.9,1.0,0.9833333333333334,,0.9783333539962769,0.004999999888241291,0.5608333333333334,0.0,0.0,0.0,0.012583057392117928,,0.014571644827302825,0.004999999888241291,0.007216878364870489
subpopulation,acceptance,0.9499999999999998,0.9499999999999998,1.0,0.9933333333333333,,0.9869999686876932,0.0016666666294137638,0.5435,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0028867513459481316,,0.006999999284765411,0.002886751281424208,0.007262919523167054
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.9913333257039388,0.0033333332588275275,0.5613333333333334,0.0,0.0,0.0,0.0,,0.004725855683801483,0.005773502562848416,0.012789970028632991
individualized,counterfactual,0.85,0.85,1.0,1.0,,0.990000049273173,0.004999999888241291,0.549,0.0,0.0,0.0,0.0,,0.00346412584171918,0.004999999888241291,0.011757976016304966
individualized,counterfactual,0.9,0.9,1.0,1.0,,0.9980000257492065,0.0033333332588275275,0.5571666666666669,0.0,0.0,0.0,0.0,,0.0034640570162037675,0.005773502562848416,0.03678428106315704
individualized,counterfactual,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.9886666735013326,0.0016666666294137638,0.5681666666666666,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.012096810478576981,0.002886751281424208,0.032133834712547535
individualized,improvement,0.75,0.75,0.955,0.7854188673035117,0.7854188673035117,0.7854188879330953,0.7854188680648804,1.244158811349928,0.0,0.0,0.0050000000000000044,0.03199300065895901,0.03199300065895901,0.03199301813001225,0.0319929849362251,0.013530165395727439
individualized,improvement,0.85,0.85,0.96,0.8475313928957409,0.8475313928957409,0.8475313782691956,0.8475313981374105,1.4606135924854922,0.0,0.0,0.018027756377319962,0.02598435509923528,0.02598435509923528,0.025984294391852937,0.025984356368821435,0.02752754252051452
individualized,improvement,0.9,0.9,0.9899999999999999,0.8888832487309645,0.8888832487309645,0.8888832330703735,0.8888832529385885,1.6378578680203042,0.0,0.0,0.008660254037844395,0.00516745285336295,0.00516745285336295,0.005167480416871557,0.005167447920860528,0.01005267376566863
individualized,improvement,0.9499999999999998,0.9499999999999998,0.9916666666666667,0.9513387580882414,0.9513387580882414,0.9513387680053711,0.9513387680053711,1.999443069833091,1.3597399555105182e-16,1.3597399555105182e-16,0.005773502691896262,0.02016153147770832,0.02016153147770832,0.02016150559550128,0.02016150559550128,0.073128021356712
subpopulation,improvement,0.75,0.75,0.9483333333333333,0.5660106040974108,,0.566010594367981,0.566010594367981,1.0649044243671442,0.0,0.0,0.00763762615825974,0.029455360488532933,,0.02945535367983423,0.02945535367983423,0.04968307413901314
subpopulation,improvement,0.85,0.85,0.9633333333333333,0.7284521138298251,,0.7284521261850992,0.7284521261850992,1.2232984293193712,0.0,0.0,0.014433756729740658,0.007849964927276423,,0.007849962985836501,0.007849962985836501,0.02477800894453163
subpopulation,improvement,0.9,0.9,0.985,0.8120848068709202,,0.8120848139127096,0.8120848139127096,1.4099310862961598,0.0,0.0,0.010000000000000009,0.02624478539033162,,0.026244799975918356,0.02624476711348574,0.0816840124031255
subpopulation,improvement,0.9499999999999998,0.9499999999999998,0.9966666666666667,0.9063819095477387,,0.9063819050788879,0.9063819050788879,1.7131959798994976,1.3597399555105182e-16,1.3597399555105182e-16,0.0028867513459481316,0.020701261037195006,,0.02070125149757584,0.02070125149757584,0.017569716330839563
