,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,0.7400000095367432,0.17000000178813934,0.94,0.785,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[-0.16140027750839359, 0.2242793999765276, 0.9346386265261583], [-0.5159258752256772]]",0.9309999346733093,2.454500000000001
1,1.0,0.75,0.75,0.26499998569488525,0.17000000178813934,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[-0.16140027750839359, 0.2242793999765276, 0.9346386265261583], [-0.5159258752256772]]",0.793999969959259,2.5245000000000006
2,1.0,0.75,0.75,0.18000000715255737,0.17000000178813934,0.96,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[-0.16140027750839359, 0.2242793999765276, 0.9346386265261583], [-0.5159258752256772]]",0.7700000405311584,1.9889999999999999
3,1.0,0.75,0.75,0.7200000286102295,0.1899999976158142,0.79,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[-0.16140027750839359, 0.2242793999765276, 0.9346386265261583], [-0.5159258752256772]]",0.7849999666213989,2.5524999999999993
4,1.0,0.75,0.75,0.2150000035762787,0.14499999582767487,0.87,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[-0.16140027750839359, 0.2242793999765276, 0.9346386265261583], [-0.5159258752256772]]",0.7510000467300415,2.1679999999999997
5,1.0,0.75,0.75,0.7400000095367432,0.12999999523162842,0.92,0.775,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[-0.07251134654845404, -0.11656092775108004, 1.1094052916874328], [-0.5920252304331496]]",0.9149999618530273,2.172500000000002
6,1.0,0.75,0.75,0.20999999344348907,0.17000000178813934,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[-0.07251134654845404, -0.11656092775108004, 1.1094052916874328], [-0.5920252304331496]]",0.8480000495910645,2.305
7,1.0,0.75,0.75,0.1599999964237213,0.1599999964237213,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[-0.07251134654845404, -0.11656092775108004, 1.1094052916874328], [-0.5920252304331496]]",0.8240000009536743,1.9305
8,1.0,0.75,0.75,0.7149999737739563,0.1850000023841858,0.745,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[-0.07251134654845404, -0.11656092775108004, 1.1094052916874328], [-0.5920252304331496]]",0.7380000352859497,2.2635
9,1.0,0.75,0.75,0.2199999988079071,0.1899999976158142,0.93,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[-0.07251134654845404, -0.11656092775108004, 1.1094052916874328], [-0.5920252304331496]]",0.7789999842643738,2.0484999999999998
10,1.0,0.75,0.75,0.75,0.1599999964237213,0.925,0.79,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[-0.01984564004589861, 0.1162780047149313, 0.9320571110777967], [-0.5287859838662682]]",0.9290000200271606,2.2759999999999994
11,1.0,0.75,0.75,0.20000000298023224,0.10999999940395355,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[-0.01984564004589861, 0.1162780047149313, 0.9320571110777967], [-0.5287859838662682]]",0.5180000066757202,2.5289999999999995
12,1.0,0.75,0.75,0.1899999976158142,0.1899999976158142,0.985,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[-0.01984564004589861, 0.1162780047149313, 0.9320571110777967], [-0.5287859838662682]]",0.41600003838539124,1.8365000000000002
13,1.0,0.75,0.75,0.625,0.17000000178813934,0.78,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[-0.01984564004589861, 0.1162780047149313, 0.9320571110777967], [-0.5287859838662682]]",0.7879999876022339,2.42
14,1.0,0.75,0.75,0.2150000035762787,0.1850000023841858,0.875,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[-0.01984564004589861, 0.1162780047149313, 0.9320571110777967], [-0.5287859838662682]]",0.4050000309944153,
