r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.5523333350817362,0.2549999902645747,2.540833333333333,0.0,0.0,0.0,0.0,,0.13259839296180184,0.013228752387561995,0.11642200536553803
individualized,acceptance,0.75,0.75,1.0,0.9966666666666667,,0.6206666628519694,0.26999999086062115,2.27,0.0,0.0,0.0,0.0028867513459481316,,0.11353120659805489,0.017320508763943927,0.07748548251124247
individualized,acceptance,0.75,0.75,1.0,1.0,,0.6540000041325887,0.2199999988079071,2.1608333333333327,0.0,0.0,0.0,0.0,,0.09257968681209526,0.05074446302308409,0.05453744890745586
subpopulation,acceptance,0.75,0.75,1.0,0.8866666666666667,,0.4690000017484029,0.22000000377496085,2.1572499999999994,0.0,0.0,0.0,0.033291640592397,,0.13732805152723754,0.05267827085751003,0.03217335854398892
subpopulation,acceptance,0.75,0.75,1.0,0.9199999999999999,,0.5420000155766805,0.2116666634877523,2.290166666666668,0.0,0.0,0.0,0.03774917217635373,,0.1740775865683982,0.03329164315860656,0.10715565002991415
subpopulation,acceptance,0.75,0.75,1.0,0.915,,0.5820000171661377,0.22000000377496085,2.152833333333333,0.0,0.0,0.0,0.026457513110645866,,0.08838551823721526,0.031224991232761613,0.07858965156643227
individualized,counterfactual,0.75,0.75,1.0,0.9883333333333333,,0.49033332864443463,0.17999999721844992,1.9158333333333328,0.0,0.0,0.0,0.016072751268321604,,0.14630219000349406,0.031224991232761613,0.010299676370320419
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.5430000225702921,0.19000000258286795,2.5408333333333335,0.0,0.0,0.0,0.0,,0.2051609328933235,0.03500000068119628,0.26387986534279756
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.596666673819224,0.1450000007947286,2.2816666666666663,0.0,0.0,0.0,0.0,,0.09532222969715005,0.034641017527887855,0.17167872125960532
individualized,improvement,0.75,0.75,1.0,0.9233333333333333,0.7783333333333333,0.9173333247502645,0.7666666706403097,2.4275000000000015,0.0,0.0,0.0,0.01527525231651942,0.012583057392117928,0.013316659352274171,0.02020726718909914,0.22402957394058612
individualized,improvement,0.75,0.75,1.0,0.9383333333333334,0.7716666666666666,0.9403333266576132,0.7716666460037231,2.226166666666667,0.0,0.0,0.0,0.01527525231651942,0.016072751268321608,0.02138539007843184,0.007637618874451828,0.031766072047600485
individualized,improvement,0.75,0.75,1.0,0.935,0.775,0.937333345413208,0.7816666762034098,2.1660000000000004,0.0,0.0,0.0,0.00866025403784433,0.050744457825461095,0.008082937355506283,0.04163331369003154,0.1031552228440223
subpopulation,improvement,0.75,0.75,1.0,0.7883333333333334,,0.7793333331743876,0.6833333174387614,2.3655,0.0,0.0,0.0,0.057518113089124655,,0.052814149494495304,0.028867520342032833,0.16885570763228602
subpopulation,improvement,0.75,0.75,1.0,0.7866666666666667,,0.7920000155766805,0.700000007947286,2.011833333333334,0.0,0.0,0.0,0.020207259421636918,,0.03304541629972054,0.02291288263696622,0.10686478996064831
subpopulation,improvement,0.75,0.75,1.0,0.7766666666666667,,0.7816666762034098,0.6800000071525574,1.8626666666666665,0.0,0.0,0.0,0.02843120351538666,,0.03308069969733311,0.03968628813929294,0.04843122271152495
