r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.1458333333333333,0.22483333333333336,2.043833333333334,0.3706666666666667,2.043833333333334,0.03279608716498558,0.1264519012642093,0.11525225955847249,0.11495035160160819,0.11525225955847249,0.75
individualized,acceptance,0.17533333333333334,0.17566666666666667,1.9086666666666667,0.351,1.9086666666666667,0.07353627222897104,0.06744318596665888,0.03450483057969357,0.09968324834193559,0.03450483057969357,0.75
individualized,acceptance,0.1555,0.13366666666666666,1.8639999999999999,0.2891666666666666,1.8639999999999999,0.02256656819279353,0.043076482369540474,0.0737817728168685,0.03593164807427195,0.0737817728168685,0.75
subpopulation,acceptance,0.05397631133671743,0.13417935702199668,2.192216582064298,0.1881556683587141,2.192216582064298,0.0390049035018301,0.07887699857862847,0.06239388855327366,0.10903233475791048,0.06239388855327366,0.75
subpopulation,acceptance,0.08894472361809046,0.0897822445561139,2.1067001675041883,0.17872696817420433,2.1067001675041883,0.07587939698492463,0.009618008187574951,0.06896759903942652,0.07720453171291512,0.06896759903942652,0.75
subpopulation,acceptance,0.07683610904537874,0.07619412520976176,2.0168234944517365,0.1530302342551405,2.0168234944517365,0.03741771114684393,0.06685783870340667,0.15146606887466801,0.10372827156082866,0.15146606887466801,0.75
individualized,counterfactual,0.0006666666666666661,0.062166666666666676,2.459,0.06283333333333334,2.459,0.010969655114602888,0.057274194305405424,0.05540081226841418,0.06384616929255298,0.05540081226841418,0.75
individualized,counterfactual,0.028333333333333325,0.0275,2.472666666666667,0.055833333333333325,2.472666666666667,0.047828687346960844,0.02298368986912241,0.20594801123908282,0.06245865299006481,0.20594801123908282,0.75
individualized,counterfactual,0.0036649916247906197,0.0073324958123953095,2.2584639865996645,0.010997487437185928,2.2584639865996645,0.006430924687546406,0.008282693835926863,0.15950454892283084,0.014572036235353084,0.15950454892283084,0.75
individualized,improvement,1.2526666666666666,0.8679999999999998,,2.1206666666666663,0.0,0.03646002377033427,0.09791450352220543,,0.0673244631121054,0.0,0.75
individualized,improvement,1.2876666666666667,0.9384999999999998,,2.2261666666666664,0.0,0.05357782501495766,0.042092160790341775,,0.031766072047600666,0.0,0.75
individualized,improvement,1.2505000000000006,0.9154999999999993,,2.166,0.0,0.036664015055636774,0.07245860887430837,,0.10315522284402236,0.0,0.75
subpopulation,improvement,1.2863855359270586,0.6541832875718799,,1.9405688234989384,0.0,0.0517793738601789,0.05367206832285087,,0.021668850530808696,0.0,0.75
subpopulation,improvement,1.2567550102458143,0.770436786300368,,2.0271917965461825,0.0,0.07948773723715678,0.1388066552402308,,0.09674813156934362,0.0,0.75
subpopulation,improvement,1.240871156257825,0.6452856759365736,,1.8861568321943984,0.0,0.03171683187608202,0.06394064249553982,,0.03623008905946454,0.0,0.75
