,u_x1,u_x2,u_x3,u_x4,u_y
2000,-0.91233057,1.3421887,-0.06757075,0.023162981,0.54166555
2001,1.8064219,-0.9670094,0.083504364,-0.109245695,0.5364032
2002,-1.0107297,0.68688303,-0.16251624,-0.18366578,0.38658655
2003,-0.09470678,0.49037325,-0.14515896,0.09957238,0.22123611
2004,0.62659466,0.26409376,0.10171708,-0.11078624,0.7780868
2005,-1.5110359,0.5261412,0.030103683,0.10537666,0.9423593
2006,0.51977503,-0.8202971,0.01188755,-0.12130703,0.18786073
2007,0.6748477,1.4191384,-0.018746508,-0.0041456316,0.6772344
2008,0.5179567,-0.86181206,0.0646108,0.09488439,0.2923038
2009,-0.44778806,1.024904,-0.12682502,-0.08104222,0.536162
2010,-1.0898168,0.5825336,-0.015065952,-0.018057315,0.55418205
2011,1.0433561,-0.51852757,-0.0632832,0.123329416,0.036870956
2012,0.063349314,-1.6898898,0.045741558,0.09350664,0.72859395
2013,-0.14524674,0.7504158,-0.18636635,-0.21981168,0.36139214
2014,0.6278912,-0.3811671,0.13225023,-0.0047401697,0.35974467
2015,0.4834306,1.7086192,-0.079862125,0.027990459,0.717432
2016,1.3724015,0.6758485,0.0026288817,-0.04955005,0.67478704
2017,0.82887435,0.15220147,0.23245238,0.08995312,0.4998144
2018,0.88152874,1.1815988,-0.10140615,0.015977627,0.45143604
2019,1.2527446,-1.530994,0.16692965,0.015542443,0.82842016
2020,0.29547852,-0.35646155,-0.1532087,-0.07699648,0.6298115
2021,-0.58421296,0.47525793,-0.14809918,0.12451549,0.5803002
2022,-2.223215,0.0026003513,0.0039082556,-0.003760847,0.23581588
2023,1.3286827,-0.19228956,0.16107185,0.08895137,0.80055654
2024,-0.07173507,-1.4452041,-0.062385805,-0.041928533,0.59302115
2025,-0.66825974,0.32966402,0.2609212,-0.010729327,0.33599555
2026,-0.40241882,0.9707651,0.022409882,0.09355694,0.6980765
2027,-0.98908526,-0.0027517008,-0.09945195,-0.045606486,0.23233259
2028,-1.7830838,-2.2859507,0.04665817,-0.04196319,0.5075172
2029,-0.97306746,-1.3975971,-0.012250026,-0.15572576,0.2664956
2030,1.4339076,1.1631109,0.22624917,0.07239019,0.61272275
2031,0.84888715,-0.36679667,0.032273717,-0.22453265,0.99737334
2032,0.71896774,-0.8998382,-0.019504227,-0.21005057,0.0219872
2033,1.7243363,-0.33632228,-0.13053207,0.035195816,0.22137034
2034,0.32548934,0.7968063,0.022014203,0.04875479,0.16193628
2035,0.29069012,-0.03323857,-0.05802622,-0.2009803,0.42926097
2036,-0.39654583,0.90110594,-0.040977355,0.08813336,0.47554183
2037,-2.3843162,1.298362,0.1066077,-0.022938315,0.5921763
2038,-1.2695395,0.72571623,-0.08110839,-0.04449655,0.5405446
2039,-0.16410556,-1.9576944,0.04423556,0.012356986,0.82242227
2040,-0.9815958,-1.4061553,0.1013364,-0.024923675,0.59744847
2041,0.76501846,0.8160032,-0.05523456,0.20282567,0.08215487
2042,-1.0651025,-0.87010753,-0.016540892,-0.0122589385,0.97241724
2043,0.12578478,1.5650394,-0.06462165,-0.084491275,0.1595838
2044,0.07145571,-0.47202286,-0.008622676,0.020331897,0.058776498
2045,0.4536625,-0.37807485,-0.14114182,0.01781832,0.38782728
2046,1.070733,0.08487941,-0.017350933,0.115903996,0.9374808
2047,0.015342053,1.1142861,0.046711583,-0.07380558,0.92245877
2048,-0.8698553,-0.2611602,0.13740425,0.22920747,0.36797845
2049,-0.2049664,1.5283096,0.1369829,-0.029753292,0.03690803
2050,-0.42395324,-1.0487831,-0.047622647,-0.13454126,0.4434557
2051,-0.7942978,1.0782822,-0.03516903,-0.015910609,0.82457054
2052,0.2292256,-0.20878388,-0.05857384,0.14840305,0.5289806
2053,0.14433436,1.2120516,0.20879486,0.07211887,0.7766932
2054,0.33995178,0.591198,0.010048865,-0.10639497,0.5387794
2055,1.0450662,-1.769596,-0.03948584,-0.17846227,0.13360858
2056,-1.3640854,-0.04144166,-0.08595248,-0.12355081,0.65794003
2057,-0.43942097,-0.84985125,-0.23677333,0.034085803,0.122160316
2058,-0.8966637,0.94394755,0.020411553,0.10765678,0.1438551
2059,0.14985336,-1.8096765,-0.044216108,0.03960201,0.67183983
2060,-1.1026942,-0.8325674,-0.07783198,-0.04487326,0.9708935
2061,-1.2947694,-0.14518392,-0.008940552,0.15120207,0.3663926
2062,0.25319636,-0.19150124,0.06879654,0.047066897,0.5734565
2063,1.2696823,-0.40683943,-0.12499265,0.042518817,0.69877625
2064,1.6553178,0.87932384,0.08833419,-0.07642509,0.9480183
