r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.5713333333333334,0.0016666666666666668,0.7728845000000001,0.0,0.0,0.0,0.0,,0.053724606404638636,0.002886751345948129,0.051804664218099435
individualized,acceptance,0.75,0.75,1.0,1.0,,0.6943333333333334,0.006666666666666667,1.3142813333333334,0.0,0.0,0.0,0.0,,0.26422023641903997,0.011547005383792516,0.763265618775884
subpopulation,acceptance,0.75,0.75,1.0,1.0,,0.5843333333333334,0.0,9.650571065989848,0.0,0.0,0.0,0.0,,0.05499393905998489,0.0,0.6018483732764184
subpopulation,acceptance,0.75,0.75,1.0,0.9983333333333334,,0.7203333333333334,0.005,1.3622248333333333,0.0,0.0,0.0,0.0028867513459481316,,0.24214527320047638,0.005,0.7040224523980634
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.5706666666666668,0.0016666666666666668,9.373785594639868,0.0,0.0,0.0,0.0,,0.06469415223444341,0.002886751345948129,0.15327669734560562
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.6973333333333334,0.006666666666666667,1.2928276666666667,0.0,0.0,0.0,0.0,,0.26079557767211714,0.011547005383792516,0.6888309242223976
individualized,improvement,0.75,0.75,0.995,0.9413367174280879,0.9380033840947547,0.9416700507614214,0.9380033840947547,0.7640143333333335,0.0,0.0,0.008660254037844393,0.01628677124555452,0.01058108809240501,0.018715115108122196,0.01058108809240501,0.09065895212875233
individualized,improvement,0.75,0.75,0.9983333333333334,0.9181742043551089,0.9181742043551089,0.9144891122278058,0.9181742043551089,9.641415410385259,0.0,0.0,0.0028867513459481316,0.015484652355072237,0.015484652355072237,0.020771044395479808,0.015484652355072237,0.18042030802160405
subpopulation,improvement,0.75,0.75,0.9983333333333334,0.9448743718592963,,0.9448743718592963,0.9432077051926298,0.7463815000000001,0.0,0.0,0.0028867513459481316,0.018236914095630875,,0.018236914095630934,0.017756413724658363,0.07760996582430624
subpopulation,improvement,0.75,0.75,0.9983333333333334,0.9198827470686767,,0.9192127303182579,0.9198827470686767,9.365159128978226,0.0,0.0,0.0028867513459481316,0.009824645378333673,,0.008845410685949575,0.009824645378333673,0.23884342463993724
