,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,0.925,0.0,0.925,0.925,"[5.0, 5.0]",300.0,0.5,individualized,improvement,2,,0.925,0.10038850000000002
1,1.0,0.75,0.75,0.005,0.005,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,2,,0.58,0.09621500000000006
2,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,2,,0.5399999999999999,9.7
3,1.0,0.75,0.75,0.97,0.005,0.97,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,2,,0.969,0.09418249999999999
4,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,2,,0.5509999999999999,9.475
5,1.0,0.75,0.75,0.93,0.0,0.93,0.93,"[5.0, 5.0]",300.0,0.5,individualized,improvement,1,,0.93,0.7034705000000001
6,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,1,,0.999,0.7062280000000001
7,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,1,,0.9960000000000001,9.775
8,1.0,0.75,0.75,0.92,0.0,0.92,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,1,,0.9200000000000002,0.6757955
9,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,1,,0.994,9.5
10,1.0,0.75,0.75,0.93,0.005,0.93,0.93,"[5.0, 5.0]",300.0,0.5,individualized,improvement,0,,0.924,0.10656900000000004
11,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,0,,0.998,0.11478449999999998
12,1.0,0.75,0.75,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,0,,0.993,9.775
13,1.0,0.75,0.75,0.905,0.0,0.905,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,0,,0.9,0.11777549999999998
14,1.0,0.75,0.75,0.005,0.005,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,0,,0.998,
