,senior-level_skill
2935,0.0
2001,1.0
2866,1.0
2561,1.0
2720,1.0
3925,1.0
2827,1.0
2954,1.0
3474,1.0
3518,0.0
2347,1.0
3049,1.0
2874,1.0
2451,1.0
2192,1.0
2371,1.0
3004,1.0
2940,1.0
2735,1.0
3081,1.0
3782,1.0
2072,1.0
3269,1.0
2531,1.0
3655,1.0
3104,1.0
2180,1.0
2929,1.0
2240,1.0
2128,1.0
3311,1.0
3521,1.0
3114,1.0
3545,1.0
3882,1.0
2221,1.0
2093,1.0
3543,0.0
3687,1.0
3926,1.0
2509,1.0
2869,1.0
3422,1.0
3550,1.0
3671,1.0
2534,1.0
2068,1.0
3942,1.0
2465,1.0
2030,1.0
2042,1.0
3620,0.0
2016,1.0
2501,1.0
2867,1.0
2470,1.0
3220,1.0
3744,1.0
2210,1.0
3646,1.0
3346,1.0
2812,1.0
2124,1.0
2583,1.0
2160,1.0
2218,1.0
2658,1.0
2915,1.0
2071,1.0
3566,1.0
2275,1.0
2056,1.0
3797,1.0
3209,1.0
2341,1.0
2343,1.0
2117,1.0
2724,1.0
3331,1.0
3181,1.0
2095,1.0
3371,0.0
2064,1.0
2839,1.0
2549,1.0
2687,1.0
3561,1.0
2569,1.0
2744,1.0
2032,1.0
3174,1.0
3672,1.0
2162,1.0
2243,1.0
2729,1.0
2821,1.0
2010,1.0
3192,1.0
2963,1.0
3895,1.0
2423,1.0
2185,1.0
3029,1.0
3822,1.0
2452,1.0
2410,1.0
2255,1.0
2431,1.0
2879,1.0
2484,1.0
2642,0.0
2151,1.0
2473,1.0
3918,1.0
3873,1.0
2619,1.0
3959,1.0
3214,1.0
3025,0.0
2179,1.0
2430,1.0
3384,1.0
2847,1.0
3213,1.0
3522,1.0
3817,1.0
2187,1.0
2449,1.0
3583,1.0
2740,1.0
2727,1.0
2321,1.0
2589,1.0
2950,1.0
2602,1.0
2253,1.0
2882,1.0
3588,1.0
3923,1.0
3991,1.0
3355,1.0
2768,1.0
3648,1.0
2227,1.0
2059,0.0
3239,0.0
2563,1.0
3616,1.0
2348,1.0
3585,1.0
3204,1.0
2168,1.0
3551,1.0
3235,1.0
2899,1.0
2011,1.0
2139,1.0
2732,1.0
3774,1.0
3236,1.0
3812,1.0
3036,1.0
2628,1.0
2267,1.0
2578,1.0
3373,1.0
2370,1.0
2402,1.0
2102,1.0
3974,1.0
2924,1.0
2377,1.0
2334,1.0
3486,0.0
2092,1.0
2388,1.0
2428,1.0
2817,1.0
2930,1.0
2213,1.0
3784,0.0
3795,0.0
2259,1.0
2508,1.0
2467,1.0
3896,1.0
2573,1.0
3885,1.0
3308,1.0
3010,1.0
3881,1.0
2328,1.0
3300,1.0
3574,0.0
3605,1.0
3539,1.0
2462,1.0
3101,1.0
2540,1.0
2422,0.0
