,years_experience,degree
3736,1.0,0.0
3175,2.0,0.0
3911,0.0,1.0
3887,1.0,1.0
2658,3.0,0.0
2575,0.0,2.0
3799,0.0,1.0
3116,0.0,3.0
3301,0.0,1.0
2142,0.0,3.0
2344,1.0,1.0
3346,0.0,2.0
3645,0.0,3.0
3316,0.0,2.0
2827,0.0,2.0
2071,2.0,0.0
2265,2.0,0.0
2223,0.0,1.0
3973,0.0,1.0
2485,0.0,2.0
2153,1.0,1.0
3276,0.0,3.0
2956,1.0,1.0
2173,2.0,0.0
2335,2.0,1.0
3377,0.0,2.0
3748,2.0,0.0
3615,1.0,1.0
3228,0.0,2.0
2098,2.0,0.0
2961,1.0,1.0
3874,0.0,1.0
3203,2.0,0.0
3987,1.0,1.0
3208,0.0,1.0
3930,0.0,3.0
2603,1.0,0.0
2232,0.0,1.0
3667,1.0,1.0
3222,0.0,2.0
3135,1.0,1.0
3701,0.0,1.0
3567,0.0,3.0
3916,1.0,1.0
3245,0.0,2.0
2300,1.0,0.0
3834,0.0,2.0
2498,0.0,3.0
3389,0.0,1.0
3469,0.0,1.0
3907,2.0,0.0
2687,1.0,1.0
3440,1.0,0.0
2174,0.0,1.0
2524,1.0,0.0
3407,0.0,1.0
2722,0.0,3.0
2561,0.0,2.0
2007,0.0,3.0
2960,2.0,1.0
3728,1.0,0.0
3529,2.0,0.0
3062,1.0,0.0
3369,2.0,1.0
3704,2.0,0.0
2512,0.0,2.0
2477,0.0,3.0
2539,0.0,1.0
2988,1.0,0.0
3268,1.0,1.0
2166,2.0,0.0
3556,2.0,0.0
2819,2.0,0.0
2249,1.0,1.0
3406,2.0,0.0
3277,1.0,1.0
3939,0.0,2.0
3478,1.0,1.0
3764,0.0,1.0
3375,1.0,0.0
3838,0.0,3.0
3085,2.0,1.0
2706,1.0,1.0
2864,0.0,2.0
3986,0.0,3.0
2227,0.0,2.0
2670,0.0,3.0
3783,2.0,1.0
3824,1.0,1.0
2974,1.0,0.0
2867,0.0,3.0
3335,2.0,1.0
2888,0.0,3.0
2399,2.0,0.0
3555,0.0,2.0
2388,2.0,0.0
3329,1.0,1.0
2293,1.0,1.0
2209,2.0,1.0
2302,1.0,0.0
3724,0.0,3.0
3032,1.0,0.0
2119,1.0,1.0
2990,0.0,1.0
2065,1.0,0.0
3957,0.0,2.0
2672,2.0,1.0
3163,0.0,1.0
3490,1.0,0.0
3456,1.0,0.0
3861,1.0,2.0
2030,0.0,2.0
2009,1.0,0.0
2600,1.0,0.0
3893,0.0,3.0
3886,2.0,0.0
2531,0.0,2.0
2372,1.0,1.0
3854,0.0,3.0
3177,0.0,1.0
3899,0.0,3.0
3028,0.0,2.0
3468,0.0,2.0
3814,0.0,1.0
2180,0.0,3.0
3237,2.0,1.0
3662,0.0,2.0
3769,0.0,2.0
3544,0.0,3.0
3417,0.0,2.0
3825,1.0,0.0
3013,1.0,1.0
3959,2.0,0.0
3091,0.0,1.0
2861,0.0,1.0
3068,1.0,0.0
3283,0.0,1.0
3966,0.0,1.0
3337,2.0,1.0
3750,0.0,1.0
3809,0.0,3.0
2803,2.0,0.0
3267,2.0,0.0
3492,0.0,2.0
3620,0.0,3.0
3653,0.0,1.0
3157,0.0,2.0
2735,2.0,0.0
3737,0.0,1.0
3097,1.0,1.0
2484,1.0,1.0
2669,0.0,1.0
3498,0.0,2.0
2474,0.0,2.0
2341,0.0,2.0
2066,0.0,3.0
2821,1.0,0.0
3384,2.0,1.0
3108,0.0,1.0
2218,1.0,0.0
2493,1.0,2.0
2286,1.0,0.0
3297,0.0,1.0
3041,2.0,0.0
3200,0.0,1.0
2308,0.0,3.0
2872,0.0,1.0
2489,1.0,0.0
3119,2.0,0.0
3685,1.0,1.0
2515,3.0,0.0
3771,0.0,3.0
2161,0.0,2.0
2757,1.0,1.0
2250,1.0,0.0
3443,2.0,0.0
3357,1.0,0.0
3564,0.0,1.0
3767,1.0,1.0
3508,0.0,1.0
3376,0.0,1.0
3841,2.0,0.0
2884,0.0,2.0
3848,0.0,1.0
3438,0.0,2.0
3751,0.0,3.0
3808,1.0,0.0
3928,0.0,3.0
3880,0.0,2.0
3477,1.0,0.0
3326,0.0,1.0
3573,1.0,0.0
2118,0.0,3.0
2246,1.0,2.0
3889,0.0,2.0
3762,0.0,1.0
2345,1.0,1.0
3086,0.0,3.0
3405,0.0,2.0
2393,0.0,3.0
