,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,2.0,0.0,0.858323,7.0,2.0,6.0
2001,2.0,0.0,0.06211686,1.0,6.0,2.0
2002,2.0,3.0,0.6237968,2.0,2.0,7.0
2003,1.0,1.0,0.81096435,6.0,0.0,4.0
2004,5.0,0.0,0.8841562,2.0,1.0,6.0
2005,6.0,0.0,0.56072223,5.0,1.0,2.0
2006,2.0,0.0,0.39703035,5.0,2.0,3.0
2007,3.0,0.0,0.79914975,2.0,2.0,2.0
2008,3.0,2.0,0.0015426874,6.0,8.0,0.0
2009,3.0,2.0,0.06636703,7.0,8.0,7.0
2010,8.0,2.0,0.37925375,4.0,0.0,8.0
2011,2.0,2.0,0.020002007,3.0,1.0,4.0
2012,1.0,2.0,0.8506861,4.0,2.0,1.0
2013,4.0,0.0,0.98145914,4.0,1.0,4.0
2014,1.0,0.0,0.3110429,3.0,9.0,6.0
2015,3.0,0.0,0.13233984,1.0,1.0,4.0
2016,6.0,1.0,0.19531739,7.0,1.0,6.0
2017,9.0,2.0,0.3306991,3.0,6.0,4.0
2018,4.0,0.0,0.2416346,9.0,2.0,1.0
2019,1.0,2.0,0.82120526,4.0,8.0,5.0
2020,6.0,0.0,0.55204916,3.0,2.0,1.0
2021,6.0,2.0,0.52071905,0.0,4.0,4.0
2022,2.0,0.0,0.02276516,2.0,5.0,3.0
2023,2.0,1.0,0.9746244,2.0,12.0,7.0
2024,2.0,0.0,0.12219846,6.0,1.0,5.0
2025,5.0,1.0,0.22615099,7.0,9.0,4.0
2026,1.0,2.0,0.7356756,2.0,5.0,6.0
2027,9.0,2.0,0.1533488,3.0,5.0,1.0
2028,4.0,0.0,0.6664225,3.0,3.0,8.0
2029,3.0,3.0,0.47642183,6.0,2.0,3.0
2030,1.0,0.0,0.6240314,3.0,3.0,5.0
2031,5.0,0.0,0.25138772,1.0,7.0,1.0
2032,1.0,3.0,0.36576235,7.0,2.0,5.0
2033,2.0,1.0,0.45887697,3.0,0.0,3.0
2034,6.0,2.0,0.23308313,1.0,1.0,1.0
2035,0.0,3.0,0.17012131,2.0,29.0,3.0
2036,3.0,3.0,0.030329943,0.0,4.0,1.0
2037,12.0,1.0,0.9321251,4.0,2.0,3.0
2038,9.0,0.0,0.695199,6.0,4.0,2.0
2039,5.0,3.0,0.10984576,6.0,2.0,4.0
2040,6.0,0.0,0.3533082,2.0,3.0,4.0
2041,3.0,0.0,0.3599075,3.0,9.0,2.0
2042,4.0,0.0,0.87063134,6.0,4.0,5.0
2043,3.0,0.0,0.53610957,2.0,3.0,1.0
2044,1.0,2.0,0.3141272,3.0,1.0,2.0
2045,3.0,1.0,0.8036792,3.0,4.0,2.0
2046,2.0,0.0,0.1834513,1.0,2.0,4.0
2047,2.0,2.0,0.8815608,6.0,2.0,12.0
2048,7.0,3.0,0.1257894,5.0,5.0,5.0
2049,1.0,0.0,0.35580397,4.0,4.0,2.0
2050,8.0,2.0,0.5840051,4.0,0.0,13.0
2051,3.0,0.0,0.3992635,5.0,4.0,7.0
2052,2.0,1.0,0.48634577,4.0,5.0,6.0
2053,3.0,1.0,0.62345815,5.0,1.0,3.0
2054,2.0,3.0,0.11003351,3.0,4.0,4.0
2055,5.0,1.0,0.30061197,2.0,2.0,10.0
2056,3.0,2.0,0.8422555,4.0,2.0,3.0
2057,3.0,0.0,0.88566065,4.0,2.0,1.0
2058,3.0,3.0,0.5261879,3.0,10.0,4.0
2059,0.0,2.0,0.36044872,6.0,4.0,8.0
2060,8.0,1.0,0.9994658,10.0,5.0,3.0
2061,3.0,2.0,0.42985022,7.0,3.0,5.0
2062,3.0,0.0,0.27164376,8.0,15.0,0.0
2063,3.0,1.0,0.99017453,4.0,5.0,1.0
2064,1.0,0.0,0.3864951,10.0,7.0,2.0
2065,3.0,1.0,0.3588513,3.0,3.0,12.0
2066,5.0,2.0,0.73495924,6.0,3.0,5.0
2067,2.0,0.0,0.44362247,4.0,6.0,3.0
2068,3.0,0.0,0.56406116,1.0,1.0,1.0
2069,3.0,0.0,0.85446763,3.0,2.0,2.0
2070,0.0,1.0,0.9850081,5.0,2.0,4.0
2071,3.0,0.0,0.9093666,5.0,1.0,3.0
2072,5.0,0.0,0.21262455,3.0,3.0,7.0
2073,6.0,0.0,0.2739656,5.0,5.0,2.0
2074,4.0,2.0,0.3944497,2.0,0.0,2.0
2075,5.0,2.0,0.20711577,5.0,0.0,8.0
2076,4.0,0.0,0.6430328,3.0,0.0,4.0
2077,6.0,1.0,0.1443497,0.0,4.0,7.0
2078,5.0,1.0,0.8611102,5.0,10.0,6.0
2079,2.0,1.0,0.6807643,5.0,6.0,0.0
2080,3.0,1.0,0.33016384,10.0,3.0,4.0
2081,3.0,1.0,0.06712198,2.0,2.0,3.0
2082,6.0,2.0,0.89966667,4.0,2.0,2.0
2083,0.0,0.0,0.75599957,4.0,15.0,7.0
2084,2.0,1.0,0.4845016,5.0,3.0,5.0
2085,1.0,0.0,0.47648418,2.0,2.0,4.0
2086,6.0,2.0,0.72542787,5.0,0.0,3.0
2087,2.0,0.0,0.3905251,4.0,3.0,6.0
2088,0.0,0.0,0.771109,8.0,9.0,5.0
2089,2.0,0.0,0.50567555,2.0,2.0,1.0
2090,4.0,1.0,0.060367346,8.0,2.0,3.0
2091,2.0,0.0,0.7324337,3.0,2.0,3.0
2092,6.0,2.0,0.6061497,6.0,6.0,2.0
2093,2.0,3.0,0.39851975,3.0,0.0,2.0
2094,2.0,1.0,0.6219121,8.0,0.0,4.0
2095,1.0,3.0,0.22985399,8.0,7.0,2.0
2096,0.0,1.0,0.035012126,8.0,1.0,0.0
2097,5.0,2.0,0.93491936,1.0,9.0,3.0
2098,2.0,0.0,0.73148537,5.0,9.0,1.0
2099,2.0,2.0,0.45388067,6.0,1.0,2.0
2100,3.0,1.0,0.90086985,3.0,3.0,4.0
2101,3.0,2.0,0.4301437,3.0,5.0,9.0
2102,3.0,2.0,0.045190573,4.0,3.0,5.0
2103,3.0,2.0,0.55658853,3.0,2.0,8.0
2104,1.0,2.0,0.7522384,1.0,4.0,5.0
2105,1.0,0.0,0.3476317,4.0,1.0,1.0
2106,2.0,2.0,0.8616402,12.0,3.0,13.0
2107,4.0,1.0,0.68298876,2.0,2.0,2.0
2108,2.0,1.0,0.026506186,2.0,3.0,3.0
2109,2.0,3.0,0.22982597,5.0,1.0,4.0
2110,8.0,2.0,0.83419144,4.0,0.0,1.0
2111,2.0,0.0,0.5357677,3.0,4.0,3.0
2112,5.0,1.0,0.21318924,2.0,5.0,3.0
2113,2.0,2.0,0.31553185,1.0,4.0,2.0
2114,2.0,3.0,0.01936698,14.0,4.0,2.0
2115,3.0,1.0,0.31009614,7.0,5.0,2.0
2116,8.0,0.0,0.4957031,3.0,4.0,1.0
2117,1.0,2.0,0.7598113,8.0,2.0,4.0
2118,4.0,2.0,0.5474973,2.0,5.0,3.0
2119,2.0,0.0,0.16077745,4.0,2.0,2.0
2120,0.0,0.0,0.08103025,3.0,7.0,10.0
2121,3.0,2.0,0.4441049,3.0,1.0,3.0
2122,1.0,1.0,0.45916867,4.0,10.0,8.0
2123,5.0,1.0,0.6914989,4.0,1.0,3.0
2124,1.0,2.0,0.90447426,3.0,0.0,6.0
2125,0.0,0.0,0.6097586,2.0,5.0,5.0
2126,2.0,2.0,0.37176442,4.0,4.0,2.0
2127,2.0,0.0,0.13924682,3.0,6.0,5.0
2128,3.0,1.0,0.88344264,4.0,3.0,2.0
2129,7.0,1.0,0.51384413,4.0,5.0,7.0
2130,2.0,2.0,0.068196416,6.0,4.0,4.0
2131,3.0,1.0,0.094219565,5.0,2.0,6.0
2132,1.0,0.0,0.5793773,4.0,6.0,2.0
2133,4.0,0.0,0.17529142,1.0,1.0,4.0
2134,5.0,2.0,0.14425528,3.0,7.0,10.0
2135,1.0,3.0,0.7466233,6.0,5.0,4.0
2136,1.0,0.0,0.09734416,6.0,11.0,2.0
2137,4.0,1.0,0.055422544,3.0,1.0,2.0
