,years_experience,degree
2575,0.0,3.0
2758,0.0,1.0
2336,1.0,0.0
3718,0.0,2.0
3287,1.0,0.0
2842,0.0,1.0
3298,0.0,3.0
2851,0.0,2.0
3203,0.0,2.0
3733,0.0,1.0
3717,1.0,0.0
3921,0.0,2.0
2561,0.0,3.0
3765,0.0,3.0
3824,1.0,1.0
2617,0.0,1.0
2731,0.0,1.0
2412,0.0,1.0
2300,0.0,1.0
3940,0.0,1.0
3560,0.0,1.0
2607,0.0,1.0
3373,0.0,3.0
3340,0.0,1.0
2152,1.0,0.0
3833,1.0,1.0
3735,3.0,0.0
3114,1.0,2.0
3432,1.0,0.0
2825,0.0,3.0
3693,1.0,0.0
3536,0.0,2.0
2468,1.0,0.0
3877,0.0,2.0
2432,0.0,2.0
2368,2.0,0.0
3631,0.0,3.0
3977,1.0,0.0
2890,1.0,1.0
3544,1.0,0.0
2709,2.0,1.0
2026,0.0,3.0
2235,1.0,2.0
3985,0.0,2.0
3711,0.0,3.0
2982,0.0,1.0
3875,0.0,3.0
2655,1.0,0.0
3483,0.0,2.0
3642,0.0,3.0
2420,0.0,2.0
2977,0.0,3.0
3641,0.0,1.0
2225,2.0,0.0
3568,2.0,0.0
3494,0.0,1.0
2258,1.0,1.0
2906,1.0,0.0
3535,0.0,1.0
3533,0.0,2.0
3614,2.0,0.0
3154,1.0,0.0
3394,0.0,2.0
2159,0.0,1.0
3963,0.0,1.0
3531,0.0,1.0
2067,2.0,1.0
2299,1.0,0.0
3090,2.0,0.0
2672,2.0,0.0
2240,0.0,1.0
3372,0.0,3.0
3428,1.0,0.0
3831,0.0,3.0
2092,0.0,1.0
2880,0.0,1.0
2475,0.0,2.0
3067,0.0,1.0
3347,1.0,1.0
3085,1.0,0.0
2493,0.0,1.0
3896,3.0,0.0
3440,0.0,2.0
2295,0.0,3.0
3439,2.0,0.0
3889,1.0,0.0
2463,0.0,2.0
3573,0.0,2.0
2476,2.0,0.0
3434,0.0,2.0
3772,2.0,0.0
2732,0.0,2.0
2857,0.0,3.0
2592,0.0,2.0
2022,1.0,1.0
2790,0.0,1.0
2333,0.0,3.0
3279,0.0,3.0
2504,1.0,2.0
2506,0.0,2.0
2144,2.0,0.0
2017,0.0,3.0
3821,0.0,2.0
3638,1.0,1.0
3013,0.0,2.0
3169,0.0,3.0
2771,0.0,1.0
3783,2.0,0.0
2187,0.0,2.0
3942,2.0,0.0
3265,0.0,2.0
3709,0.0,2.0
2018,1.0,0.0
2599,0.0,3.0
3109,2.0,0.0
3793,1.0,0.0
2699,0.0,3.0
3979,2.0,0.0
2154,0.0,3.0
2836,2.0,0.0
3020,1.0,0.0
2641,0.0,1.0
2921,0.0,2.0
3132,0.0,3.0
2718,1.0,1.0
3319,0.0,3.0
3558,0.0,1.0
2087,0.0,3.0
3581,0.0,1.0
3608,0.0,1.0
3538,1.0,0.0
2508,0.0,2.0
3694,1.0,0.0
2713,0.0,1.0
3175,0.0,1.0
2055,2.0,1.0
3204,0.0,2.0
3385,0.0,2.0
2779,0.0,3.0
3947,1.0,1.0
2443,0.0,3.0
3351,0.0,2.0
2006,0.0,1.0
2587,2.0,0.0
2039,2.0,1.0
3322,0.0,3.0
3729,1.0,0.0
2697,1.0,0.0
3314,0.0,3.0
3853,1.0,1.0
2381,2.0,1.0
2618,1.0,2.0
3504,0.0,3.0
3161,0.0,1.0
2772,1.0,0.0
2332,0.0,2.0
3111,0.0,1.0
2933,2.0,0.0
3722,2.0,0.0
3498,0.0,2.0
2338,0.0,2.0
2557,0.0,2.0
2751,3.0,0.0
3658,1.0,1.0
3788,2.0,0.0
2100,1.0,0.0
3012,0.0,3.0
2777,1.0,0.0
3084,1.0,1.0
2148,0.0,2.0
3752,2.0,1.0
3124,0.0,3.0
3148,2.0,0.0
3629,2.0,0.0
2108,1.0,1.0
2800,1.0,1.0
3099,1.0,1.0
3852,0.0,1.0
2981,0.0,1.0
2077,3.0,0.0
2057,1.0,0.0
3525,0.0,2.0
2307,0.0,2.0
3007,1.0,1.0
3534,0.0,2.0
3662,0.0,2.0
2337,2.0,0.0
3335,0.0,3.0
2402,0.0,2.0
3288,0.0,2.0
3192,1.0,0.0
2803,1.0,0.0
2741,0.0,1.0
2649,1.0,0.0
2571,1.0,0.0
3799,1.0,1.0
2695,0.0,2.0
3482,0.0,1.0
3225,0.0,3.0
3076,0.0,3.0
