,years_experience,degree,nr_commits,nr_languages,nr_stars
3569,1.0,1.0,16.0,5.0,12.0
2295,1.0,1.0,13.0,1.0,0.0
2435,3.0,0.0,33.0,5.0,4.0
2847,2.0,0.0,23.0,1.0,0.0
3943,2.0,0.0,25.0,2.0,2.0
3055,3.0,0.0,34.0,11.0,11.0
3307,1.0,1.0,16.0,9.0,3.0
3228,3.0,0.0,37.0,2.0,10.0
2805,2.0,0.0,26.0,8.0,0.0
3014,0.0,2.0,6.0,6.0,3.0
3395,3.0,0.0,36.0,5.0,4.0
3422,2.0,0.0,28.0,4.0,4.0
3214,2.0,0.0,24.0,10.0,4.0
2535,2.0,0.0,24.0,13.0,3.0
3202,1.0,0.0,17.0,4.0,1.0
2880,0.0,0.0,4.0,3.0,0.0
3790,2.0,0.0,25.0,8.0,6.0
2686,3.0,0.0,32.0,13.0,3.0
3545,3.0,0.0,33.0,0.0,5.0
2919,2.0,0.0,23.0,4.0,0.0
2863,1.0,0.0,14.0,6.0,1.0
2349,0.0,2.0,2.0,3.0,3.0
3392,2.0,0.0,25.0,2.0,1.0
3017,0.0,1.0,5.0,4.0,4.0
2839,1.0,1.0,15.0,6.0,2.0
2248,1.0,1.0,17.0,6.0,3.0
2746,0.0,0.0,1.0,3.0,2.0
2279,0.0,0.0,2.0,2.0,6.0
3574,1.0,0.0,16.0,7.0,4.0
3272,2.0,0.0,24.0,5.0,0.0
2463,1.0,0.0,17.0,3.0,2.0
2921,1.0,0.0,16.0,2.0,1.0
2775,1.0,1.0,17.0,2.0,0.0
2647,1.0,0.0,14.0,1.0,3.0
3880,1.0,1.0,12.0,6.0,6.0
3407,1.0,0.0,14.0,0.0,5.0
2272,1.0,0.0,14.0,3.0,4.0
3667,0.0,1.0,3.0,2.0,1.0
2706,2.0,0.0,21.0,7.0,7.0
3681,2.0,0.0,25.0,10.0,3.0
3398,0.0,2.0,2.0,3.0,6.0
2750,3.0,0.0,35.0,5.0,8.0
3666,0.0,1.0,1.0,1.0,2.0
3465,0.0,2.0,8.0,10.0,2.0
3629,1.0,1.0,13.0,7.0,1.0
2302,2.0,0.0,22.0,3.0,2.0
3298,2.0,0.0,24.0,1.0,1.0
3678,0.0,0.0,2.0,4.0,5.0
2495,1.0,0.0,10.0,1.0,2.0
2316,1.0,0.0,16.0,14.0,9.0
2652,1.0,0.0,13.0,5.0,7.0
3537,2.0,0.0,25.0,6.0,4.0
3252,2.0,0.0,20.0,0.0,2.0
3007,0.0,2.0,3.0,2.0,5.0
2125,1.0,0.0,17.0,12.0,1.0
3240,1.0,0.0,12.0,4.0,5.0
2817,3.0,0.0,34.0,12.0,3.0
3722,0.0,0.0,2.0,1.0,3.0
3463,2.0,1.0,21.0,3.0,5.0
2691,0.0,0.0,3.0,1.0,5.0
2753,1.0,0.0,13.0,1.0,3.0
3346,1.0,0.0,15.0,12.0,6.0
2453,3.0,0.0,35.0,5.0,3.0
2406,1.0,0.0,15.0,9.0,7.0
3433,3.0,1.0,31.0,2.0,7.0
3685,1.0,0.0,15.0,3.0,5.0
2424,2.0,0.0,26.0,1.0,5.0
2940,1.0,0.0,17.0,2.0,5.0
3036,1.0,1.0,16.0,1.0,2.0
2098,2.0,1.0,27.0,6.0,1.0
3623,2.0,0.0,25.0,3.0,6.0
2327,0.0,1.0,5.0,6.0,7.0
3698,2.0,0.0,26.0,1.0,8.0
2263,1.0,1.0,15.0,0.0,5.0
3379,3.0,0.0,39.0,7.0,2.0
3907,2.0,0.0,25.0,5.0,2.0
3648,3.0,0.0,35.0,8.0,4.0
2274,1.0,1.0,15.0,9.0,3.0
3621,1.0,2.0,14.0,1.0,2.0
3258,1.0,2.0,21.0,2.0,8.0
3000,1.0,1.0,17.0,1.0,10.0
3038,1.0,0.0,16.0,5.0,1.0
2679,3.0,0.0,37.0,0.0,2.0
2898,2.0,0.0,22.0,3.0,5.0
2876,2.0,0.0,21.0,3.0,2.0
3605,2.0,0.0,24.0,2.0,4.0
2533,3.0,0.0,32.0,4.0,3.0
2097,1.0,0.0,17.0,1.0,6.0
2950,1.0,1.0,15.0,3.0,3.0
2914,0.0,2.0,3.0,4.0,3.0
3293,2.0,0.0,23.0,7.0,7.0
2459,3.0,0.0,34.0,5.0,5.0
3728,1.0,0.0,11.0,2.0,6.0
2020,0.0,1.0,6.0,3.0,5.0
2392,0.0,0.0,3.0,5.0,3.0
3103,0.0,0.0,3.0,1.0,5.0
2862,2.0,0.0,26.0,1.0,5.0
3059,1.0,0.0,11.0,4.0,6.0
3888,1.0,0.0,17.0,5.0,5.0
3116,0.0,0.0,9.0,3.0,1.0
3169,1.0,0.0,13.0,1.0,8.0
3384,0.0,0.0,3.0,5.0,6.0
2690,1.0,1.0,12.0,1.0,4.0
2085,3.0,0.0,34.0,3.0,1.0
3408,0.0,0.0,3.0,0.0,1.0
3589,2.0,0.0,28.0,6.0,10.0
3234,1.0,0.0,15.0,1.0,0.0
2418,0.0,2.0,3.0,3.0,3.0
3765,1.0,1.0,11.0,0.0,4.0
2834,1.0,0.0,13.0,2.0,6.0
2858,2.0,0.0,24.0,6.0,4.0
3032,0.0,2.0,4.0,9.0,5.0
2252,2.0,0.0,26.0,0.0,4.0
3788,1.0,1.0,13.0,2.0,5.0
3590,0.0,1.0,1.0,5.0,2.0
2709,0.0,1.0,3.0,0.0,3.0
2732,1.0,0.0,13.0,4.0,6.0
3233,2.0,0.0,23.0,4.0,2.0
3327,1.0,1.0,15.0,2.0,2.0
2713,1.0,0.0,15.0,1.0,5.0
3839,1.0,0.0,13.0,2.0,8.0
3429,1.0,2.0,12.0,0.0,5.0
3953,4.0,0.0,49.0,3.0,2.0
2078,1.0,1.0,13.0,4.0,3.0
3600,3.0,0.0,34.0,4.0,6.0
2472,3.0,0.0,36.0,2.0,3.0
3978,1.0,1.0,12.0,8.0,3.0
2430,0.0,1.0,3.0,2.0,4.0
2091,1.0,1.0,16.0,1.0,8.0
2367,2.0,0.0,21.0,5.0,5.0
2584,2.0,0.0,23.0,0.0,10.0
2093,1.0,2.0,16.0,1.0,5.0
3345,3.0,0.0,33.0,15.0,15.0
3833,2.0,0.0,23.0,1.0,6.0
2109,2.0,1.0,25.0,0.0,6.0
2573,0.0,1.0,3.0,5.0,4.0
2016,1.0,0.0,13.0,4.0,1.0
2377,1.0,1.0,13.0,3.0,4.0
3555,1.0,1.0,12.0,5.0,4.0
2009,3.0,0.0,34.0,0.0,1.0
3637,2.0,0.0,27.0,5.0,6.0
3387,1.0,0.0,12.0,11.0,9.0
3340,2.0,1.0,21.0,0.0,6.0
3312,2.0,0.0,25.0,9.0,2.0
2820,2.0,0.0,30.0,4.0,9.0
3587,0.0,0.0,6.0,4.0,5.0
3157,1.0,2.0,14.0,4.0,1.0
2271,0.0,2.0,2.0,1.0,4.0
3060,3.0,0.0,32.0,8.0,5.0
3918,2.0,1.0,22.0,1.0,3.0
3813,1.0,0.0,16.0,11.0,11.0
3774,3.0,0.0,36.0,7.0,0.0
3457,1.0,2.0,15.0,6.0,2.0
2587,1.0,0.0,14.0,5.0,3.0
3129,3.0,0.0,34.0,3.0,4.0
2210,1.0,1.0,16.0,2.0,6.0
2643,2.0,1.0,23.0,0.0,7.0
2343,1.0,0.0,13.0,3.0,1.0
2111,0.0,1.0,2.0,3.0,5.0
2503,3.0,0.0,32.0,13.0,6.0
2032,1.0,0.0,12.0,8.0,7.0
2507,2.0,0.0,25.0,3.0,3.0
2959,3.0,0.0,31.0,11.0,8.0
