,years_experience,degree
3244,2.0,1.0
2427,2.0,1.0
2599,1.0,2.0
2464,1.0,1.0
2938,3.0,0.0
2317,0.0,1.0
3776,0.0,1.0
3820,0.0,2.0
3359,0.0,3.0
2149,0.0,2.0
2939,0.0,3.0
2258,1.0,1.0
3550,2.0,0.0
3234,1.0,1.0
3169,1.0,1.0
3929,0.0,1.0
3423,1.0,1.0
2069,0.0,2.0
3436,0.0,1.0
2047,0.0,2.0
2802,1.0,0.0
3743,0.0,2.0
2102,1.0,0.0
2237,0.0,3.0
3757,0.0,2.0
2284,1.0,3.0
2887,0.0,2.0
2330,0.0,3.0
2542,0.0,2.0
2772,1.0,1.0
3749,2.0,2.0
3031,0.0,-1.0
2784,1.0,0.0
3930,1.0,3.0
3809,1.0,1.0
3444,1.0,1.0
2213,0.0,1.0
2242,2.0,0.0
3870,0.0,1.0
3152,1.0,3.0
3081,1.0,0.0
2143,0.0,2.0
3071,1.0,1.0
3980,0.0,2.0
2234,0.0,3.0
2302,0.0,3.0
3967,0.0,3.0
3666,0.0,2.0
2393,0.0,3.0
3769,1.0,1.0
2812,0.0,3.0
3567,0.0,3.0
3248,1.0,2.0
3020,0.0,1.0
3896,1.0,1.0
2437,2.0,0.0
2166,0.0,3.0
3113,0.0,1.0
3400,1.0,0.0
2318,0.0,1.0
3534,1.0,1.0
3503,1.0,1.0
2743,0.0,2.0
3119,0.0,2.0
3498,3.0,1.0
3897,0.0,1.0
3721,2.0,0.0
3702,0.0,1.0
3130,0.0,1.0
3836,1.0,1.0
3658,0.0,3.0
2431,0.0,2.0
3707,0.0,2.0
3615,0.0,3.0
3014,0.0,1.0
2614,0.0,2.0
3142,1.0,1.0
2475,0.0,2.0
3971,0.0,2.0
2179,0.0,3.0
3096,0.0,2.0
2776,0.0,2.0
2918,0.0,2.0
3563,1.0,0.0
2005,0.0,3.0
3864,0.0,2.0
3763,0.0,2.0
2288,1.0,1.0
2954,0.0,1.0
2292,0.0,1.0
3296,0.0,2.0
3197,1.0,0.0
2621,0.0,2.0
3464,0.0,1.0
3700,1.0,3.0
3619,0.0,1.0
2523,1.0,0.0
3921,0.0,1.0
2109,0.0,2.0
3885,1.0,3.0
3794,0.0,1.0
2928,0.0,1.0
3056,0.0,1.0
2332,2.0,1.0
2777,0.0,2.0
3078,0.0,3.0
2660,0.0,2.0
2051,1.0,0.0
3543,2.0,2.0
3544,1.0,2.0
3635,0.0,3.0
3183,0.0,2.0
3068,0.0,3.0
2367,0.0,3.0
3642,1.0,1.0
3625,1.0,1.0
2061,0.0,1.0
3133,2.0,1.0
3875,2.0,0.0
2441,1.0,1.0
2688,1.0,0.0
3231,0.0,2.0
2403,0.0,1.0
2165,0.0,3.0
2933,1.0,2.0
2146,0.0,1.0
2625,0.0,2.0
3850,3.0,0.0
2252,0.0,1.0
3077,0.0,1.0
3295,0.0,2.0
2445,0.0,1.0
2902,0.0,2.0
2137,1.0,1.0
3770,0.0,2.0
2747,0.0,2.0
3046,1.0,3.0
2658,0.0,2.0
2270,0.0,1.0
3796,0.0,1.0
2071,0.0,2.0
3920,0.0,2.0
3645,0.0,2.0
2729,0.0,3.0
2185,1.0,2.0
3855,0.0,1.0
3377,2.0,1.0
3237,1.0,3.0
2687,1.0,1.0
2858,0.0,3.0
3952,1.0,1.0
2764,0.0,2.0
3816,0.0,3.0
2426,0.0,1.0
2009,1.0,3.0
3324,0.0,2.0
3992,1.0,0.0
3966,2.0,1.0
3777,1.0,1.0
3301,1.0,1.0
2027,0.0,2.0
2884,0.0,3.0
2192,0.0,2.0
2767,0.0,1.0
2578,0.0,2.0
3524,0.0,2.0
3350,1.0,1.0
2804,0.0,3.0
3761,0.0,1.0
3813,0.0,1.0
3372,1.0,1.0
3044,2.0,1.0
2730,0.0,1.0
2418,1.0,0.0
3147,0.0,1.0
3482,0.0,2.0
3754,0.0,2.0
2141,1.0,0.0
2662,1.0,1.0
3055,0.0,2.0
3742,0.0,1.0
3696,0.0,2.0
2422,1.0,1.0
2681,1.0,2.0
2052,1.0,1.0
3914,0.0,2.0
3986,1.0,1.0
3998,1.0,3.0
2171,0.0,1.0
2204,1.0,3.0
2896,1.0,2.0
2752,1.0,1.0
2346,1.0,2.0
3344,0.0,2.0
3778,1.0,3.0
3414,2.0,1.0
2865,0.0,2.0
2994,0.0,3.0
2285,0.0,2.0
2300,0.0,1.0
