r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.1794999999999999,0.09399999999999999,1.803000000000001,0.2734999999999999,1.803000000000001,,,,,,0.75
individualized,acceptance,0.134,0.09549999999999999,1.8770000000000011,0.22949999999999998,1.8770000000000011,,,,,,0.75
individualized,acceptance,0.12750000000000003,0.14399999999999996,1.7690000000000006,0.27149999999999996,1.7690000000000006,,,,,,0.75
individualized,counterfactual,0.0020100502512562816,0.0010050251256281406,2.1783919597989945,0.003015075376884422,2.1783919597989945,,,,,,0.75
individualized,counterfactual,-0.0045000000000000005,0.023000000000000003,2.048,0.018500000000000003,2.048,,,,,,0.75
individualized,improvement,1.2775000000000003,0.8014999999999999,,2.079,0.0,,,,,,0.75
individualized,improvement,1.1890000000000005,0.8139999999999994,,2.003,0.0,,,,,,0.75
individualized,improvement,1.1665,0.7174999999999998,,1.884,0.0,,,,,,0.75
subpopulation,improvement,1.1557788944723613,0.6165829145728642,,1.7723618090452256,0.0,,,,,,0.75
subpopulation,improvement,1.2418367346938772,0.7290816326530613,,1.9709183673469384,0.0,,,,,,0.75
