,x1,x2
2029,2.3,-0.0
2531,1.9,1.0
3383,1.7,-0.0
3373,0.5,0.7
3571,0.9,0.0
3033,1.0,0.0
3167,0.8,1.4
3396,2.6,-0.0
3152,0.0,-0.0
3199,0.5,2.5
3246,1.6,0.0
3930,0.2,0.0
2623,0.0,0.0
2802,0.1,0.3
2669,1.8,0.0
3271,1.0,-0.0
2621,0.5,0.3
3269,2.7,4.5
3566,0.9,-0.0
2374,2.0,4.3
3058,-0.0,0.0
2470,1.5,1.8
3478,2.3,-0.0
2622,1.0,-0.0
2588,1.6,-0.0
2445,0.9,0.0
3047,0.9,-0.0
3337,0.6,1.8
3771,0.3,0.4
2922,1.8,3.9
2068,1.5,0.0
3841,1.7,2.1
2833,0.9,-0.0
2846,1.1,0.0
3927,0.5,2.8
2847,0.5,0.0
3352,1.0,3.1
2799,1.0,-0.0
2885,1.4,-0.0
3353,1.0,0.0
2003,-0.0,0.0
2851,0.3,-0.0
3451,1.3,2.1
3678,2.3,0.0
2108,0.0,0.8
3358,0.8,0.0
3394,2.3,0.0
3377,2.7,0.0
2195,0.6,4.5
2177,0.9,4.3
2060,1.7,0.0
3092,0.7,0.0
2193,0.6,0.7
3947,0.4,0.0
3942,1.3,0.0
3365,2.5,-0.0
3493,1.7,-0.0
3550,0.9,0.0
3936,0.1,0.1
3859,0.8,0.0
3865,0.0,-0.0
2175,0.0,-0.1
3028,2.0,0.0
3467,-0.0,-0.0
2404,1.1,0.0
2761,2.4,0.0
2238,1.3,1.8
2153,1.3,0.2
2322,0.4,2.4
3279,0.5,0.0
3698,0.1,-0.0
3850,1.0,-0.0
2521,1.1,-0.0
2631,1.4,-0.0
2183,0.8,0.0
2921,1.3,0.2
2888,0.8,0.9
2680,0.6,-0.0
2000,1.7,4.0
2931,0.1,0.0
3363,1.4,-0.0
3226,0.4,2.1
3618,1.4,-0.0
2856,3.2,0.0
3487,1.8,-0.0
3270,1.5,0.0
3997,0.3,0.9
3078,0.6,0.0
3545,0.1,0.1
2077,2.3,-0.0
3524,2.3,3.2
3667,1.5,0.0
3639,0.7,0.0
2714,1.1,-0.0
3276,0.1,1.9
3277,0.5,0.0
2972,1.7,-0.0
2387,1.9,0.0
3360,0.0,1.8
3210,1.6,0.0
3075,0.1,0.4
2255,0.7,1.2
3586,1.3,0.0
3916,0.9,-0.0
3304,0.8,0.4
3103,0.1,0.2
2708,-0.1,1.8
2992,1.2,0.0
3298,0.1,0.6
3372,1.9,0.0
3659,1.0,-0.0
2280,0.6,0.0
2602,0.9,2.6
2797,1.0,0.0
3151,1.2,-0.0
2571,0.0,0.2
2746,-0.0,0.0
3508,2.3,-0.0
2958,0.4,2.1
3288,0.9,4.1
3036,0.7,3.8
3641,0.0,-0.1
3305,1.2,0.0
2819,1.2,2.1
3822,-0.0,0.0
2383,1.7,0.0
2937,1.8,0.6
3835,1.3,2.0
3668,1.8,-0.0
3138,1.4,0.0
3391,2.3,-0.0
2119,1.3,3.0
3386,1.8,2.5
2555,1.9,0.0
2865,1.2,1.6
2359,0.1,-0.0
2031,0.5,-0.0
3978,0.9,-0.0
3289,0.4,2.6
2052,-0.0,0.0
2543,2.3,-0.0
2522,2.7,1.9
2941,0.1,-0.0
3683,-0.0,0.0
3231,0.2,0.9
3039,0.2,0.1
2392,1.9,-0.0
2233,0.4,0.0
2796,0.6,3.8
3336,0.1,2.2
2794,-0.0,-0.0
3766,2.6,-0.0
3318,1.4,0.0
3899,2.6,3.3
2700,0.8,1.3
3149,-0.0,-0.0
2083,-0.0,0.3
3310,0.9,0.0
2690,-0.0,0.5
3643,0.7,1.1
2067,2.6,-0.0
2831,1.8,-0.0
2141,0.1,-0.0
3089,-0.0,-0.0
2274,1.1,0.0
3080,1.8,1.3
2611,1.5,0.0
3253,0.7,3.1
2824,2.1,0.0
3148,2.3,0.9
3240,1.5,-0.0
3460,1.1,-0.0
2636,1.3,-0.0
2025,0.1,0.2
2756,0.1,0.0
2727,2.6,-0.0
2745,0.5,1.9
2873,1.2,-0.0
3170,0.1,-0.0
2011,1.3,0.0
2485,2.8,0.0
3748,1.3,0.2
2297,-0.0,4.0
2214,0.3,4.0
2753,0.9,-0.0
3287,1.9,-0.0
2472,2.1,-0.0
2657,1.3,0.0
3538,2.8,-0.0
3323,2.2,3.5
2848,0.7,-0.0
2246,0.0,0.1
2626,0.9,0.0
3738,0.7,0.0
3860,1.1,-0.0
2581,0.7,0.7
2686,3.0,-0.0
2816,0.4,-0.0
2887,-0.0,0.0
2260,1.0,0.0
