r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.5885000000000002,0.31099999999999994,1.4670000000000005,2.3665000000000007,0.0,,,,,,0.75
individualized,acceptance,0.7470000000000002,0.357,1.462,2.566,0.0,,,,,,0.75
individualized,acceptance,0.5614999999999999,0.34016666666666656,1.6018333333333334,2.5035000000000003,0.0,0.16992056967889407,0.10323799365220784,0.19949456968382284,0.1550387048449518,0.0,0.75
individualized,acceptance,0.5386666666666667,0.45749999999999996,1.2683333333333333,2.2645,0.0,0.3857749775884036,0.1958296453553444,0.5595268834768653,0.04344249072049181,0.0,0.85
individualized,acceptance,0.7428333333333333,0.7066666666666666,0.8724999999999999,2.3219999999999996,0.0,0.12917655876099698,0.22408554913990628,0.4905958112336466,0.3783989297025027,0.0,0.9
individualized,acceptance,0.3578333333333334,0.42,1.6256666666666668,2.4035,0.0,0.1704474503573853,0.2494934868889365,0.1371143075442286,0.252465839273356,0.0,0.9499999999999998
subpopulation,acceptance,0.534289782244556,0.4028802345058627,1.6555686767169178,2.5927386934673367,0.0,0.20013122764428953,0.140483344434372,0.18063094543323063,0.13521370965663543,0.0,0.75
subpopulation,acceptance,0.5149081632653059,0.5606326530612242,1.424363945578231,2.4999047619047614,0.0,0.4317973882339152,0.22833336203690255,0.6714550522299089,0.012541021126063598,0.0,0.85
subpopulation,acceptance,0.7018333333333331,0.9964999999999998,0.9213333333333337,2.619666666666667,0.0,0.21183857848213872,0.46865579053288137,0.5381589758921932,0.2796123805079699,0.0,0.9
subpopulation,acceptance,0.2686666666666669,0.5876666666666666,1.7630000000000001,2.6193333333333335,0.0,0.0766425686765086,0.3200821509133764,0.08244240413767633,0.42224588018515224,0.0,0.9499999999999998
individualized,counterfactual,0.6409999999999997,0.5455000000000001,2.6479999999999997,3.8344999999999994,0.0,,,,,,0.75
individualized,counterfactual,0.3635000000000001,0.417,2.3995,3.18,0.0,0.18317273268693673,0.10250365847129546,0.1895072557977658,0.14644879651263742,0.0,0.75
individualized,counterfactual,0.5336666666666666,0.5726666666666665,1.9230000000000003,3.0293333333333337,0.0,0.6149159156611033,0.49565722362670434,0.6966937993121516,0.41386632302391124,0.0,0.85
individualized,counterfactual,0.7438333333333332,1.2561666666666669,1.4581666666666664,3.4581666666666666,0.0,0.22864893031311823,0.675934599893609,0.8068547473574986,0.48513305734956136,0.0,0.9
individualized,counterfactual,0.17137710437710454,0.3593771043771043,2.3494848484848485,2.880239057239057,0.0,0.09954955294636236,0.40304062112856476,0.10208196687678281,0.5805462855164171,0.0,0.9499999999999998
individualized,improvement,1.0415000000000005,0.9035000000000001,1.5025000000000006,3.4475000000000016,0.0,,,,,,0.75
individualized,improvement,1.0260000000000007,0.9935000000000005,1.6390000000000011,3.6585000000000023,0.0,,,,,,0.75
individualized,improvement,0.9441666666666667,1.006,1.5821666666666667,3.5323333333333333,0.0,0.08763037905505913,0.09059939293394835,0.18563157956913903,0.35510080728341586,0.0,0.75
individualized,improvement,1.1563333333333334,1.0625,1.8705000000000005,4.089333333333335,0.0,0.04628534685333285,0.07536411612962775,0.15819213001916452,0.2442341772425258,0.0,0.85
individualized,improvement,1.203,1.1594999999999998,1.5684999999999996,3.9309999999999996,0.0,0.06018928476066184,0.017585505395069066,0.20412557409594728,0.24134363467885417,0.0,0.9
individualized,improvement,1.3260000000000007,1.1273333333333335,1.3454999999999995,3.798833333333334,0.0,0.027717323103070613,0.03466386206603865,0.19132367861819924,0.22204297632065154,0.0,0.9499999999999998
subpopulation,improvement,1.1040609137055832,0.8802030456852792,1.6766497461928929,3.6609137055837553,0.0,,,,,,0.75
subpopulation,improvement,1.0350723905723902,0.8859595959595957,1.5235454545454543,3.44457744107744,0.0,0.049124047387868415,0.046061935121707843,0.22042526053075912,0.30528239648938005,0.0,0.75
subpopulation,improvement,1.2480000000000002,0.9686666666666667,1.7279999999999998,3.944666666666667,0.0,0.055387272906327195,0.1269058049631036,0.08625108694967253,0.03692672925312128,0.0,0.85
subpopulation,improvement,1.3020000000000005,1.1585,1.5203333333333333,3.9808333333333343,0.0,0.10136197511887766,0.18647184774115425,0.1308647520661443,0.3073736867939961,0.0,0.9
subpopulation,improvement,1.4711666666666667,1.1830000000000003,1.5381666666666665,4.192333333333333,0.0,0.15711169063228003,0.09034932207825395,0.1623956074939629,0.25392338083235455,0.0,0.9499999999999998
