,senior-level_skill
3032,1.0
2711,0.0
3071,0.0
3460,1.0
3135,1.0
3852,1.0
3043,1.0
2954,1.0
2038,1.0
2558,1.0
2428,1.0
2998,1.0
3254,1.0
3117,1.0
2371,1.0
3829,1.0
2040,1.0
3836,1.0
2721,1.0
3645,1.0
3416,1.0
2824,1.0
2382,1.0
2246,1.0
2181,1.0
2313,1.0
3861,1.0
3714,1.0
3339,1.0
3275,1.0
2887,1.0
2454,1.0
2950,1.0
3031,1.0
3240,1.0
3923,1.0
3496,1.0
3998,1.0
3141,1.0
3425,1.0
3624,1.0
2805,1.0
2285,1.0
2098,1.0
3276,1.0
3551,1.0
2835,1.0
3453,1.0
3432,1.0
2585,1.0
2680,1.0
3022,1.0
3353,1.0
2096,0.0
2463,1.0
2020,1.0
3156,1.0
2212,1.0
2061,1.0
3695,1.0
2541,1.0
2931,1.0
2196,1.0
2664,1.0
2111,1.0
3855,1.0
3851,1.0
2778,1.0
3089,1.0
3941,1.0
3569,1.0
3682,1.0
2199,1.0
2624,1.0
3530,1.0
3014,0.0
3516,1.0
3508,1.0
3988,1.0
2627,1.0
3309,1.0
3139,1.0
3607,1.0
3931,0.0
2375,1.0
2408,1.0
3296,1.0
2638,1.0
3435,1.0
3877,1.0
2232,0.0
2665,1.0
2175,1.0
2567,1.0
3524,1.0
3321,1.0
3427,1.0
3691,1.0
3379,1.0
2730,1.0
2145,1.0
2599,1.0
2110,1.0
2430,0.0
3743,1.0
3001,1.0
3706,1.0
2714,1.0
2836,1.0
3020,1.0
2155,1.0
2873,0.0
2011,1.0
3647,1.0
2987,1.0
3271,1.0
3662,1.0
2261,1.0
3143,1.0
3878,1.0
2571,1.0
2058,1.0
3617,1.0
2147,1.0
2310,1.0
3175,0.0
3679,1.0
2610,0.0
2245,1.0
2002,1.0
3798,1.0
2679,0.0
3151,1.0
2833,1.0
2717,1.0
3598,1.0
3058,1.0
3280,1.0
2540,1.0
3768,1.0
2437,1.0
2718,1.0
2651,0.0
3154,1.0
2832,1.0
2331,1.0
3235,1.0
3362,1.0
2276,0.0
3611,1.0
3028,1.0
3854,1.0
3227,1.0
2485,1.0
2204,1.0
2976,1.0
3761,1.0
3751,1.0
3935,1.0
3904,1.0
2409,1.0
3295,1.0
2775,1.0
3475,1.0
3137,1.0
3634,1.0
3997,1.0
2943,1.0
3375,1.0
3900,1.0
3277,1.0
2511,1.0
3593,1.0
3594,1.0
3563,1.0
3834,1.0
3069,1.0
2744,1.0
2603,1.0
3412,1.0
3011,1.0
2722,1.0
3685,0.0
3179,1.0
2229,1.0
2986,1.0
2197,1.0
3622,1.0
3233,1.0
3311,1.0
3428,1.0
3401,1.0
2839,1.0
3831,1.0
3061,1.0
3054,1.0
3050,1.0
2781,1.0
2103,1.0
3189,1.0
